Player,ADP
Jimmy Graham,15.8
Jared Cook,95.8
Owen Daniels,107.8
Jordan Cameron,114.3
Brandon Myers,120
Martellus Bennett,130.3
Brandon Pettigrew,134.3
Fred Davis,134.8
Zach Sudfeld,135.3
Tyler Eifert,164.3
Heath Miller,180
Rob Gronkowski,38.8
Coby Fleener,181.5
Jermaine Gresham,156.3
Julius Thomas,190
Brent Celek,197
Rob Housler,199.7
Dwayne Allen,202.3
Ed Dickson,208.7
Marcedes Lewis,234.3
Dennis Pitta,191
Jason Witten,47.3
Aaron Hernandez,200
Vernon Davis,54.8
Tony Gonzalez,56.3
Jermichael Finley,80
Greg Olsen,85.5
Kyle Rudolph,87.3
Antonio Gates,91.3
