Player,ADP
Calvin Johnson,5
Randall Cobb,25
Keenan Allen,28
Roddy White,32
Vincent Jackson,36
Andre Johnson,37
Pierre Garcon,40
Emmanuel Sanders,41
Larry Fitzgerald,42
Victor Cruz,45
Percy Harvin,48
Demaryius Thomas,8
Michael Floyd,49
Michael Crabtree,50
Julian Edelman,51
Torrey Smith,58
T.Y. Hilton,59
Kendall Wright,63
DeSean Jackson,65
Jeremy Maclin,66
Marques Colston,69
Wes Welker,71
Dez Bryant,9
Golden Tate,75
Brandin Cooks,76
Mike Wallace,80
Reggie Wayne,81
Eric Decker,84
Kelvin Benjamin,87
Terrance Williams,90
Justin Hunter,98
Mike Evans,102
Riley Cooper,106
A.J. Green,12
Rueben Randle,108
Sammy Watkins,110
DeAndre Hopkins,111
Dwayne Bowe,113
Danny Amendola,116
Anquan Boldin,117
Markus Wheaton,120
Steve Smith,122
Hakeem Nicks,124
Jordan Matthews,127
Julio Jones,13
Jarrett Boykin,128
Cecil Shorts,130
Greg Jennings,138
Kenny Britt,140
Aaron Dobson,145
Marqise Lee,149
Tavon Austin,153
Cody Latimer,154
Brandon Marshall,15
Antonio Brown,18
Jordy Nelson,19
Alshon Jeffery,22
