Player,ADP
Melvin Gordon,11.2
Kareem Hunt,10.2
Jonathan Stewart,255
John Kelly,252
Darren Sproles,247.7
Chase Edmonds,245
Kenneth Dixon,245
Leonard Fournette,10
Jeremy Hill,234.3
Kalen Ballage,228.7
Chris Ivory,214.3
Samaje Perine,210.3
Spencer Ware,209.7
Frank Gore,208.7
Robert Kelley,201
T.J. Yeldon,195.3
Javorius Allen,182.3
Nyheim Hines,178.7
Saquon Barkley,6.6
Doug Martin,173.3
D'Onta Foreman,164.3
Austin Ekeler,178.3
Devontae Booker,141
James Conner,169.2
Jordan Wilkins,165.8
LeGarrette Blount,162
Theo Riddick,154.4
Alfred Morris,145
Corey Clement,144.8
Alvin Kamara,6.2
Latavius Murray,142.6
Bilal Powell,142.4
Giovani Bernard,141.4
Ty Montgomery,137.2
Matt Breida,134.8
C.J. Anderson,130.2
Nick Chubb,127.4
Adrian Peterson,125.4
Aaron Jones,116.8
James White,116
Ezekiel Elliott,4
Ronald Jones,112.4
Chris Thompson,109
Peyton Barber,106.4
Marlon Mack,104.8
Isaiah Crowell,94.8
Chris Carson,90.4
Duke Johnson,86.6
Tarik Cohen,85.6
Rashaad Penny,83.6
Sony Michel,82.8
David Johnson,2.6
Jamaal Williams,78
Kerryon Johnson,77.8
Tevin Coleman,71.8
Rex Burkhead,69.8
Carlos Hyde,65.8
Marshawn Lynch,61.4
Dion Lewis,56.4
Mark Ingram,52.2
Lamar Miller,46.8
Jay Ajayi,43.8
Le'Veon Bell,2.4
Derrick Henry,42.2
Royce Freeman,41.2
Alex Collins,37.4
Kenyan Drake,34.4
LeSean McCoy,26.8
Joe Mixon,23.8
Jordan Howard,23.6
Devonta Freeman,19.2
Christian McCaffrey,14.8
Dalvin Cook,14.2
Todd Gurley,1
