Player,ADP
Tom Brady,71.8
Justin Herbert,62.2
Dak Prescott,56
Russell Wilson,55.6
Aaron Rodgers,54.4
Lamar Jackson,44.8
Jared Goff,238
Cam Newton,234.8
Carson Wentz,231.8
Kyler Murray,40.2
Sam Darnold,212
Deshaun Watson,209.2
Daniel Jones,207.2
Zach Wilson,192.4
Derek Carr,186.4
Ryan Fitzpatrick,182.8
Mac Jones,177
Jameis Winston,168.2
Ben Roethlisberger,165
Tua Tagovailoa,158.6
Josh Allen,30
Kirk Cousins,157.8
Trey Lance,149
Matt Ryan,141.8
Justin Fields,140.8
Baker Mayfield,138.6
Trevor Lawrence,128
Joe Burrow,111.2
Jalen Hurts,97
Ryan Tannehill,93.4
Matthew Stafford,88.2
Patrick Mahomes,18.2
