Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Tom Brady,44,17,6.0,1.7,62,7.8,11.0,312.7,68.1,6.98,7.41,3,5,BradTo00
Justin Herbert,23,17,5.7,2.2,72,7.6,11.3,294.9,65.6,6.83,6.95,5,5,HerbJu00
Matthew Stafford,33,17,6.8,2.8,79,8.2,12.1,287.4,63.8,7.36,7.45,3,4,StafMa00
Patrick Mahomes,26,17,5.6,2.0,75,7.6,11.1,284.6,62.2,6.84,7.07,3,3,MahoPa00
Derek Carr,30,17,3.7,2.2,61,7.4,11.2,282.6,52.4,6.85,6.60,3,6,CarrDe02
Joe Burrow,25,16,6.5,2.7,82,9.0,12.6,288.2,54.3,7.43,7.51,2,3,BurrJo01
Dak Prescott,28,16,6.2,1.7,51,8.0,10.9,278.1,54.6,6.88,7.34,1,2,PresDa01
Josh Allen,25,17,5.6,2.3,61,6.9,10.8,259.2,60.7,6.31,6.38,,,AlleJo02
Kirk Cousins,33,16,5.9,1.2,64,8.1,11.3,263.8,52.3,6.83,7.42,3,4,CousKi00
Aaron Rodgers,38,16,7.0,0.8,75,8.8,11.2,257.2,69.1,7.00,8.00,1,2,RodgAa00
Matt Ryan,36,17,3.6,2.1,64,6.8,10.6,233.4,46.1,6.16,5.92,3,4,RyanMa00
Jimmy Garoppolo,30,15,4.5,2.7,83,8.3,12.7,254.0,53.3,7.68,7.38,3,3,GaroJi00
Mac Jones,23,17,4.2,2.5,75,7.0,10.8,223.6,50.9,6.48,6.22,1,1,JoneMa05
Kyler Murray,24,14,5.0,2.1,77,7.9,11.4,270.5,57.3,6.84,6.90,1,1,MurrKy00
Ben Roethlisberger,39,16,3.6,1.7,59,6.2,9.6,233.8,35.6,5.44,5.43,6,7,RoetBe00
Ryan Tannehill,33,17,4.0,2.6,57,6.6,10.5,219.6,55.9,5.89,5.53,3,4,TannRy00
Trevor Lawrence,22,17,2.0,2.8,58,5.2,10.1,214.2,33.5,5.37,4.54,1,2,LawrTr00
Carson Wentz,29,17,5.2,1.4,76,7.3,11.1,209.6,54.7,6.09,6.50,,,WentCa00
Taylor Heinicke,28,15,4.0,3.0,73,6.4,10.7,213.7,39.9,5.90,5.39,3,4,HeinTa00
Jared Goff,27,14,3.8,1.6,63,6.6,9.8,231.8,39.5,5.60,5.64,2,2,GoffJa00
Jalen Hurts,23,15,3.7,2.1,91,7.1,11.9,209.6,48.5,6.54,6.35,2,2,HurtJa00
Russell Wilson,33,14,6.3,1.5,69,8.4,12.0,222.4,54.7,6.58,7.11,0,1,WilsRu00
Teddy Bridgewater,29,14,4.2,1.6,64,7.3,10.7,218.0,47.4,6.22,6.32,0,1,BridTe00
Baker Mayfield,26,14,4.1,3.1,71,6.6,11.9,215.0,35.1,5.95,5.41,,,MayfBa00
Lamar Jackson,24,12,4.2,3.4,49,6.9,11.7,240.2,50.7,6.41,5.78,4,4,JackLa00
Davis Mills,23,11,4.1,2.5,67,6.4,10.1,204.9,35.5,5.78,5.48,,,MillDa02
Tua Tagovailoa,23,12,4.1,2.6,65,6.5,10.1,204.1,49.7,6.13,5.81,0,2,TagoTu00
Sam Darnold,24,11,2.2,3.2,63,5.2,10.4,210.6,33.2,5.27,4.35,,,DarnSa00
Daniel Jones,24,11,2.8,1.9,54,6.4,10.5,220.7,41.5,5.92,5.62,1,1,JoneDa05
Zach Wilson,22,13,2.3,2.9,54,5.3,11.0,179.5,28.2,4.60,3.86,1,1,WilsZa00
Justin Fields,22,10,2.6,3.7,64,5.8,11.8,155.8,26.4,5.25,4.24,,,FielJu00
Andy Dalton,34,6,3.4,3.8,60,5.4,10.2,189.4,33.6,5.40,4.44,1,1,DaltAn00
Jacoby Brissett,29,5,2.2,1.8,52,5.3,9.1,116.6,48.2,4.72,4.39,,,BrisJa00
Jameis Winston,27,7,8.7,1.9,72,8.2,12.3,167.1,64.4,6.40,7.24,0,1,WinsJa00
Trevor Siemian,30,4,5.9,1.6,46,6.6,10.7,192.3,35.5,5.53,5.96,1,1,SiemTr00
Tyler Huntley,23,4,1.6,2.1,43,5.1,8.9,154.4,49.0,4.73,4.15,1,1,HuntTy01
Taysom Hill,31,9,3.0,3.7,70,6.2,12.5,81.5,42.5,6.39,5.38,,,HillTa00
Tyrod Taylor,32,6,3.3,3.3,52,5.6,10.6,161.0,40.4,5.20,4.43,,,TaylTy00
Mike White,26,3,3.8,6.1,28,5.3,10.8,238.3,50.5,6.88,4.96,1,1,WhitMi01
Mike Glennon,32,4,2.4,6.0,60,2.5,8.8,131.7,11.9,4.10,2.00,,,GlenMi00
Drew Lock,25,3,1.8,1.8,44,6.6,11.7,131.2,23.4,6.13,5.71,,,LockDr00
Colt McCoy,35,3,3.0,1.0,50,7.6,10.0,92.5,54.5,6.67,6.81,,,McCoCo00
