"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","@PIT","15.9","0","0","0","0","0","0","12.7281","56.9223","0.4135","6.079","4.9112","38.2469","0.2409","0.0873","0.0436","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","11","CAR","15.6","0","0","0","0","0","0","17.2076","79.3238","0.6232","3.1312","2.5356","19.9729","0.1199","0.1337","0.0668","0.0124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Justin Jefferson","MIN","wr","13","TB","15.8","0","0","0","0","0","0","0","0","0","9.5687","6.6538","93.7075","0.5106","0.0397","0.0198","0.0151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Austin Ekeler","LAC","rb","5","MIA","15.2","0","0","0","0","0","0","12.475","52.4951","0.4417","5.7435","4.8334","34.6869","0.2402","0.2328","0.1164","0.0276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Tony Pollard","DAL","rb","7","@NYG","14.5","0","0","0","0","0","0","15.8234","74.6096","0.4735","3.4771","2.7807","21.385","0.1172","0.0723","0.0362","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Deon Jackson","IND","rb","11","JAX","14","0","0","0","0","0","0","14.3117","59.8832","0.4464","4.5362","3.7155","26.6404","0.1459","0.1373","0.0687","0.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Saquon Barkley","NYG","rb","13","DAL","13.6","0","0","0","0","0","0","15.1381","64.4247","0.4513","4.3082","3.4956","21.3642","0.092","0.1056","0.0528","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Ja'Marr Chase","CIN","wr","7","@CLV","14.1","0","0","0","0","0","0","0","0","0","8.4871","5.8326","79.8166","0.547","0.0896","0.0448","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Nick Chubb","CLV","rb","5","CIN","13.4","0","0","0","0","0","0","15.7145","76.4754","0.4971","2.4699","1.9956","13.8444","0.0614","0.103","0.0515","0.0246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Josh Jacobs","LV","rb","13","@DEN","13.4","0","0","0","0","0","0","14.9831","66.6908","0.5137","3.3078","2.6582","18.9451","0.0838","0.1033","0.0516","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Tyreek Hill","MIA","wr","10","@LAC","13.8","0","0","0","0","0","0","0.6646","2.9935","0.0398","8.6517","6.1119","76.6854","0.4255","0.0748","0.0374","0.0202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Jamaal Williams","NO","rb","11","TEN","13.1","0","0","0","0","0","0","17.1743","66.6833","0.4887","2.99","2.4775","17.7167","0.089","0.1804","0.0902","0.0233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Derrick Henry","TEN","rb","7","@NO","13","0","0","0","0","0","0","17.799","73.9431","0.5089","2.2409","1.8292","13.8935","0.0556","0.182","0.091","0.0226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Aaron Jones","GB","rb","6","@CHI","12.9","0","0","0","0","0","0","12.7206","58.4495","0.3696","4.2122","3.3311","22.2791","0.1611","0.1811","0.0905","0.0141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Rhamondre Stevenson","NE","rb","11","PHI","12.9","0","0","0","0","0","0","12.8588","61.3122","0.3788","4.0519","3.321","22.6002","0.101","0.1314","0.0657","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Joe Mixon","CIN","rb","7","@CLV","12.6","0","0","0","0","0","0","14.1685","58.0334","0.4408","3.4468","2.8697","19.9377","0.1214","0.0482","0.0241","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Alexander Mattison","MIN","rb","13","TB","12.5","0","0","0","0","0","0","14.2143","63.6627","0.4794","2.6248","2.2087","15.9216","0.0995","0.0998","0.0499","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Raheem Mostert","MIA","rb","10","@LAC","12.1","0","0","0","0","0","0","12.4283","59.0142","0.3175","3.4813","2.7898","21.0432","0.1336","0.0972","0.0486","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Najee Harris","PIT","rb","6","SF","12.1","0","0","0","0","0","0","14.4261","60.7933","0.4149","2.8812","2.3367","17.5234","0.1003","0.0644","0.0322","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","J.K. Dobbins","BLT","rb","13","HST","12","0","0","0","0","0","0","13.7297","65.9543","0.5676","1.499","1.2025","9.2318","0.0798","0.107","0.0535","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","CeeDee Lamb","DAL","wr","7","@NYG","12.5","0","0","0","0","0","0","0.4763","2.8289","0.0251","7.807","5.3057","68.8368","0.4154","0.0252","0.0126","0.0071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
