id,player,team,opponent,position,salary,ownership
94274-104433,Kyren Williams,LAR,IND,RB,7600,23.7
94274-55050,Christian McCaffrey,SF,ARI,RB,9700,20.5
94274-85701,Ja'Marr Chase,CIN,TEN,WR,8200,18.8
94274-45889,Davante Adams,LV,LAC,WR,8100,18.2
94274-93541,Javonte Williams,DEN,CHI,RB,5800,17.3
94274-91872,Joshua Kelley,LAC,LV,RB,6000,15.7
94274-71845,Miles Sanders,CAR,MIN,RB,6600,15.4
94274-63759,Tony Pollard,DAL,NE,RB,8400,15.0
94274-103020,Puka Nacua,LAR,IND,WR,7500,15.0
94274-85671,Justin Jefferson,MIN,CAR,WR,9400,14.6
94274-129291,Tank Dell,HOU,PIT,WR,6200,14.0
94274-86244,Pat Freiermuth,PIT,HOU,TE,5500,13.4
94274-72731,Josh Jacobs,LV,LAC,RB,8200,12.4
94274-110246,George Pickens,PIT,HOU,WR,7100,12.4
94274-62239,Josh Allen,BUF,MIA,QB,9000,12.4
94274-12555,Baltimore Ravens,BAL,CLE,D,4100,12.4
94274-25079,Stefon Diggs,BUF,MIA,WR,8700,12.4
94274-137902,Rachaad White,TB,NO,RB,6900,12.3
94274-72776,Alexander Mattison,MIN,CAR,RB,7200,12.2
94274-52442,Joe Mixon,CIN,TEN,RB,7400,11.8
94274-12538,Los Angeles Rams,LAR,IND,D,3600,11.0
94274-70027,Zack Moss,IND,LAR,RB,7300,10.9
94274-92976,Tutu Atwell,LAR,IND,WR,6300,10.9
94274-129315,Anthony Richardson,IND,LAR,QB,7600,10.9
94274-29253,Keenan Allen,LAC,LV,WR,9500,10.8
94274-53681,Tyreek Hill,MIA,BUF,WR,9600,10.5
94274-69531,Jalen Hurts,PHI,WAS,QB,8800,9.8
94274-91626,James Cook,BUF,MIA,RB,6800,9.7
94274-111540,Rhamondre Stevenson,NE,DAL,RB,6400,9.6
94274-72846,A.J. Brown,PHI,WAS,WR,7700,9.5
94274-90533,Jerome Ford,CLE,BAL,RB,6400,9.2
94274-16606,DeAndre Hopkins,TEN,CIN,WR,6300,9.0
94274-91598,D'Andre Swift,PHI,WAS,RB,7800,8.7
94274-86631,CeeDee Lamb,DAL,NE,WR,7500,8.5
94274-56018,Deebo Samuel,SF,ARI,WR,8000,8.3
94274-12529,Cleveland Browns,CLE,BAL,D,4300,8.3
94274-42104,Alvin Kamara,NO,TB,RB,6500,8.2
94274-87418,Josh Palmer,LAC,LV,WR,6100,8.0
94274-91591,Justin Fields,CHI,DEN,QB,7200,7.7
94274-63634,Jakobi Meyers,LV,LAC,WR,6900,7.6
94274-12535,Indianapolis Colts,IND,LAR,D,4400,7.4
94274-90870,Calvin Austin III,PIT,HOU,WR,5000,7.3
94274-52436,Mark Andrews,BAL,CLE,TE,6700,7.3
94274-39793,George Kittle,SF,ARI,TE,6300,7.1
94274-69189,Justin Herbert,LAC,LV,QB,8600,6.8
94274-12553,Carolina Panthers,CAR,MIN,D,3400,6.2
94274-71706,T.J. Hockenson,MIN,CAR,TE,7200,6.2
94274-88297,Chig Okonkwo,TEN,CIN,TE,4700,6.2
94274-39716,Adam Thielen,CAR,MIN,WR,6800,6.1
94274-47870,Tyler Higbee,LAR,IND,TE,5100,5.8
94274-90561,Jerry Jeudy,DEN,CHI,WR,6600,5.8
94274-129305,Josh Downs,IND,LAR,WR,5400,5.6
94274-63115,Lamar Jackson,BAL,CLE,QB,8200,5.5
94274-12549,San Francisco 49ers,SF,ARI,D,4700,5.5
94274-72412,Khalil Herbert,CHI,DEN,RB,5800,5.4
94274-63336,Joe Burrow,CIN,TEN,QB,7200,5.4
94274-57403,Courtland Sutton,DEN,CHI,WR,7100,5.4
94274-63043,D.J. Moore,CHI,DEN,WR,6100,5.4
94274-12531,Denver Broncos,DEN,CHI,D,3900,5.3
94274-86055,Dameon Pierce,HOU,PIT,RB,6300,5.3
94274-29780,Zach Ertz,ARI,SF,TE,5000,5.3
94274-87770,Chris Olave,NO,TB,WR,7900,5.3
94274-93382,Aidan O'Connell,LV,LAC,QB,6000,5.3
94274-6654,Matthew Stafford,LAR,IND,QB,6600,5.2
