"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Lamar Jackson","BLT","18.1","27.9","-9.799999999999997","18.1","27.9","-9.8","1","30","21","21.06","1","0.55","223","230.07","1","1.15","25","33.969","0","0.855","37","19.012","0","0.71"
"Baker Mayfield","TB","7.8","18","-10.2","7.8","18","-10.2","1","37","19","20.34","1","1.18","206","294.27","0","1.48","6","14.6847","0","0","0","0","0","0"
"C.J. Beathard","JAX","-0.2","-0.3","0.09999999999999998","-0.2","-0.3","0.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-3","0","0"
"Brock Purdy","SF","8.7","10.2","-1.5","8.7","10.2","-1.5","1","27","12","15.61","1","0.74","125","190.83","1","0.58","5","7.3377","0","0","2","2.3026","0","0.01"
"Zach Wilson","NYJ","8.9","16.6","-7.700000000000001","8.9","16.6","-7.7","1","33","19","22.18","0","0.66","186","239.13","0","1.59","17","15.1032","0","0.0095","-2","-2","0","0"
"Mike White","MIA","-1.4","-0.1","-1.2999999999999998","-1.4","-0.1","-1.3","1","1","0","0.85","1","0.01","0","6.05","0","0","0","0","0","0","-4","-3","0","0"
"Tua Tagovailoa","MIA","22.5","16.3","6.199999999999999","22.5","16.3","6.2","1","31","21","18.92","0","0.81","262","225.63","3","1.91","0","0","0","0","0","4.067","0","0"
"Malik Willis","TEN","4.7","5.1","-0.39999999999999947","4.7","5.1","-0.4","1","5","4","3.34","0","0.11","74","33.83","0","0.42","17","22.1991","0","0","0","0","0","0"
"Geno Smith","SEA","13","22.1","-9.100000000000001","13","22.1","-9.1","1","41","27","23.77","2","0.84","326","275.03","0","2.28","17","21.4179","0","0.0095","3","3.9396","0","0.03"
"Trevor Lawrence","JAX","15.7","14.5","1.1999999999999993","15.7","14.5","1.2","1","30","20","19.63","1","0.64","181","221.97","2","1.21","16","15.1776","0","0","-1","-1","0","0"
"Gardner Minshew","IND","14.6","27","-12.4","14.6","27","-12.4","1","55","33","35.28","3","1.39","329","379.49","1","2.9","4","12.6852","0","0.057","0","0","0","0"
"Ryan Tannehill","TEN","2","10.1","-8.1","2","10.1","-8.1","1","16","8","9.47","1","0.36","76","111","0","1.5","0","0","0","0","0","0","0","0"
"Jimmy Garoppolo","LV","9.9","9.7","0.20000000000000107","9.9","9.7","0.2","1","22","14","12.26","1","0.46","162","130.94","1","0.93","2","7.3656","0","0","2","2.9792","0","0.02"
"Tyrod Taylor","NYG","10.4","18.5","-8.1","10.4","18.5","-8.1","1","36","24","21.98","0","0.6","200","225.7","0","1.28","24","41.5803","0","0.133","0","0","0","0"
"Joshua Dobbs","ARZ","13.1","21.6","-8.500000000000002","13.1","21.6","-8.5","1","41","21","23.7","1","1.05","235","282.96","0","1.76","53","30.783","0","0","-6","11.8576","0","0"
