"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trent Sherfield","BUF","WR","1","0.6","0.4","1","0.6","0.4","1","1","0.5","5","3.45","0","0","0","0","0","0"
"Ben Sims","GB","TE","0.7","1.1","-0.40000000000000013","0.7","1.1","-0.4","1","1","0.88","2","6.78","0","0","0","0","0","0"
"Hunter Renfrow","LV","WR","2.4","4.7","-2.3000000000000003","2.4","4.7","-2.3","1","2","2.24","14","24.43","0","0.1824","0","0","0","0"
"Rhamondre Stevenson","NE","RB","11.5","12.1","-0.5999999999999996","11.5","12.1","-0.6","1","6","5.27","51","37.84","0","0.192","34","37.8084","0","0.13"
"Christian McCaffrey","SF","RB","23.2","13.3","9.899999999999999","23.2","13.3","9.9","1","3","2.6","51","17.05","1","0.0096","46","58.1924","1","0.74"
"T.J. Hockenson","MIN","TE","14.1","13.3","0.7999999999999989","14.1","13.3","0.8","1","11","8.64","86","89.54","0","0","0","0","0","0"
"Alec Pierce","IND","WR","6.8","4.6","2.2","6.8","4.6","2.2","1","3","1.96","53","35.15","0","0.0192","0","0","0","0"
"Byron Pringle","WAS","WR","2.1","1.9","0.20000000000000018","2.1","1.9","0.2","1","1","0.71","16","15.91","0","0","0","0","0","0"
"Josh Jacobs","LV","RB","4.6","13.8","-9.200000000000001","4.6","13.8","-9.2","1","1","3.09","6","23.28","0","0.528","35","48.3924","0","0.32"
"Trey McBride","ARZ","TE","4.4","7.9","-3.5","4.4","7.9","-3.5","1","3","4.97","29","50.39","0","0.0672","0","0","0","0"
"Zamir White","LV","RB","4.3","5.5","-1.2000000000000002","4.3","5.5","-1.2","1","3","2.47","26","21.12","0","0.0864","2","7.3598","0","0.15"
"Elijah Higgins","ARZ","TE","0.5","0.2","0.3","0.5","0.2","0.3","1","1","0.5","0","-0.09","0","0","0","0","0","0"
"Samaje Perine","DEN","RB","5.6","4.6","1","5.6","4.6","1","1","3","2.62","31","22.89","0","0","10","9.065","0","0.01"
"Austin Hooper","LV","TE","2.8","2.2","0.5999999999999996","2.8","2.2","0.6","1","2","1.67","18","13.22","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","4.1","2.7","1.3999999999999995","4.1","2.7","1.4","1","2","1.86","24","6.2","0","0","7","8.624","0","0.04"
"Connor Heyward","PIT","TE","3.3","4.2","-0.9000000000000004","3.3","4.2","-0.9","1","2","2.03","23","22.76","0","0.144","0","0","0","0"
"Gabe Davis","BUF","WR","1.1","6.4","-5.300000000000001","1.1","6.4","-5.3","1","1","1.54","6","15.97","0","0.672","0","0","0","0"
"Tre Tucker","LV","WR","2.8","4.5","-1.7000000000000002","2.8","4.5","-1.7","1","2","2.15","16","22.97","0","0.1056","2","4.8118","0","0.01"
"Jahmyr Gibbs","DET","RB","23.1","18.3","4.800000000000001","23.1","18.3","4.8","1","9","8.66","58","58.87","0","0.3552","68","47.5496","1","0.2"
"Rakim Jarrett","TB","WR","0","2.5","-2.5","0","2.5","-2.5","1","0","0.26","0","16.38","0","0.1248","0","0","0","0"
"Salvon Ahmed","MIA","RB","0.8","3.5","-2.7","0.8","3.5","-2.7","1","1","1.36","0","18.42","0","0.0096","3","8.3692","0","0.02"
"Clyde Edwards-Helaire","KC","RB","0.5","1.5","-1","0.5","1.5","-1","1","0","0.86","0","2.17","0","0","5","8.7024","0","0"
"Jaylen Warren","PIT","RB","9.6","5.2","4.3999999999999995","9.6","5.2","4.4","1","1","1.87","-1","10.58","0","0","32","25.8818","1","0.1"
"Adam Trautman","DEN","TE","1","2.8","-1.7999999999999998","1","2.8","-1.8","1","1","1.33","5","20.95","0","0","0","0","0","0"
"Joshua Palmer","LAC","WR","15.8","10.6","5.200000000000001","15.8","10.6","5.2","1","5","4.42","133","76.87","0","0.1248","0","0","0","0"
"Tyler Scott","CHI","WR","4.3","4.4","-0.10000000000000053","4.3","4.4","-0.1","1","2","1.95","19","24.86","0","0.0096","14","7.8204","0","0.02"
"Logan Thomas","WAS","TE","7.1","6.1","1","7.1","6.1","1","1","4","3.98","51","40.94","0","0","0","0","0","0"
"Noah Gray","KC","TE","1.3","1.4","-0.09999999999999987","1.3","1.4","-0.1","1","1","0.74","8","8.49","0","0.0288","0","0","0","0"
"Chris Olave","NO","WR","9.2","18.1","-8.900000000000002","9.2","18.1","-8.9","1","7","8.82","57","95.46","0","0.6912","0","0","0","0"
"Scott Miller","ATL","WR","5.1","1.9","3.1999999999999997","5.1","1.9","3.2","1","1","0.35","46","16.75","0","0","0","0","0","0"
"Tim Jones","JAX","WR","2.7","2.2","0.5","2.7","2.2","0.5","1","2","1.57","17","13.79","0","0","0","0","0","0"
"Puka Nacua","LA","WR","19.4","14.2","5.199999999999999","19.4","14.2","5.2","1","8","8.19","154","96.36","0","0.0768","0","0","0","0"
"Kenneth Gainwell","PHI","RB","7.6","7.1","0.5","7.6","7.1","0.5","1","0","0","0","0","0","0","16","30.4486","1","0.68"
"Jesper Horsted","LV","TE","0.9","1.1","-0.20000000000000007","0.9","1.1","-0.2","1","1","0.86","4","6.32","0","0","0","0","0","0"
"Isaiah Hodgins","NYG","WR","2.3","3","-0.7000000000000002","2.3","3","-0.7","1","2","2.33","13","18.09","0","0","0","0","0","0"
"Rashid Shaheed","NO","WR","5.2","10.4","-5.2","5.2","10.4","-5.2","1","4","4.97","28","52.88","0","0.3648","4","4.8804","0","0"
"Marquise Goodwin","CLV","WR","2.8","3.1","-0.30000000000000027","2.8","3.1","-0.3","1","1","1.31","6","19.61","0","0","17","3.381","0","0.03"
"DeVante Parker","NE","WR","1.3","1.5","-0.19999999999999996","1.3","1.5","-0.2","1","1","0.75","8","7.61","0","0.0672","0","0","0","0"
"Jerome Ford","CLV","RB","16.4","9.7","6.699999999999999","16.4","9.7","6.7","1","2","3.51","20","29.29","0","0.0096","74","46.991","1","0.05"
"John Bates","WAS","TE","0","1.2","-1.2","0","1.2","-1.2","1","0","0.84","0","7.78","0","0","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","16.7","21.3","-4.600000000000001","16.7","21.3","-4.6","1","13","13.43","102","141.36","0","0.0672","0","0","0","0"
"Rachaad White","TB","RB","12.9","13.7","-0.7999999999999989","12.9","13.7","-0.8","1","6","5.12","65","36.8","0","0.2304","34","57.477","0","0.05"
"Jaxon Smith-Njigba","SEA","WR","14.3","10.5","3.8000000000000007","14.3","10.5","3.8","1","4","4.69","63","65.17","1","0.2784","0","0","0","0"
"Najee Harris","PIT","RB","14.3","14.3","0","14.3","14.3","0","1","3","2.75","15","11.7","0","0.3264","53","58.5746","1","0.65"
"Skyy Moore","KC","WR","2.5","4.1","-1.5999999999999996","2.5","4.1","-1.6","1","2","1.7","15","24.1","0","0.1344","0","0","0","0"
"Jalin Hyatt","NYG","WR","8.5","9","-0.5","8.5","9","-0.5","1","2","1.85","75","60.25","0","0.3456","0","0","0","0"
"Cade Otton","TB","TE","6.8","8.2","-1.3999999999999995","6.8","8.2","-1.4","1","5","4.67","43","51.13","0","0.1248","0","0","0","0"
"Jakobi Meyers","LV","WR","14.5","18.4","-3.8999999999999986","14.5","18.4","-3.9","1","7","8.47","50","102.84","1","0.6432","0","0","0","0"
