"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Arian Foster",FA,"RB1","1","2","1.3","0.4","-"
"2",1,"Adrian Peterson",FA,"RB2","2","4","2.8","0.8","-"
"3",1,"Chris Johnson",FA,"RB3","2","4","3.3","0.8","-"
"4",2,"Jamaal Charles",FA,"RB4","3","12","6.3","3.5","-"
"5",2,"Ray Rice",FA,"RB5","1","19","7.0","7.1","-"
"6",2,"Andre Johnson",FA,"WR1","6","9","7.3","1.1","-"
"7",2,"LeSean McCoy",FA,"RB6","5","12","8.5","3.5","-"
"8",2,"Maurice Jones-Drew",FA,"RB7","6","11","8.8","2.3","-"
"9",2,"Darren McFadden",FA,"RB8","5","13","9.3","3.8","-"
"10",2,"Roddy White",FA,"WR2","7","11","9.3","1.5","-"
"11",2,"Calvin Johnson",FA,"WR3","8","14","9.8","2.5","-"
"12",3,"Aaron Rodgers",NYJ,"QB1","8","19","13.8","4.2","-"
"13",3,"Larry Fitzgerald",FA,"WR4","8","23","14.5","5.9","-"
"14",3,"Michael Vick",FA,"QB2","10","22","16.3","5.8","-"
"15",3,"Matt Forte",FA,"RB9","10","28","16.8","6.8","-"
"16",3,"Hakeem Nicks",FA,"WR5","13","20","17.3","2.7","-"
"17",4,"Greg Jennings",FA,"WR6","15","21","18.8","2.3","-"
"18",4,"Frank Gore",FA,"RB10","16","21","18.8","1.9","-"
"19",4,"Steven Jackson",FA,"RB11","14","36","22.3","8.8","-"
"20",4,"Tom Brady",FA,"QB3","13","32","23.0","7.8","-"
"21",4,"Rashard Mendenhall",FA,"RB12","15","38","24.3","9.2","-"
"22",4,"Mike Wallace",FA,"WR7","18","31","24.3","4.7","-"
"23",4,"Reggie Wayne",FA,"WR8","17","34","24.8","6.1","-"
"24",4,"Drew Brees",FA,"QB4","9","45","25.5","13.1","-"
"25",5,"Peyton Hillis",FA,"RB13","14","37","28.3","9.6","-"
"26",5,"Mike Williams",FA,"WR9","23","34","28.3","4.4","-"
"27",5,"Dwayne Bowe",FA,"WR10","18","38","28.5","7.4","-"
"28",5,"Michael Turner",FA,"RB14","26","30","28.8","1.6","-"
"29",5,"Miles Austin",FA,"WR11","21","42","30.3","8.0","-"
"30",5,"Ahmad Bradshaw",FA,"RB15","21","48","31.8","11.1","-"
"31",5,"Philip Rivers",FA,"QB5","22","44","32.3","7.8","-"
"32",5,"Wes Welker",FA,"WR12","26","47","34.8","7.8","-"
"33",5,"Vincent Jackson",FA,"WR13","27","44","34.8","7.0","-"
"34",5,"Jahvid Best",FA,"RB16","23","64","35.0","16.9","-"
"35",5,"DeSean Jackson",FA,"WR14","27","48","36.3","7.7","-"
"36",5,"Marques Colston",FA,"WR15","32","46","36.3","5.7","-"
"37",5,"Brandon Marshall",FA,"WR16","16","51","36.8","14.6","-"
"38",5,"Knowshon Moreno",FA,"RB17","28","46","37.8","6.7","-"
"39",6,"Antonio Gates",FA,"TE1","35","42","40.3","3.0","-"
"40",6,"Shonn Greene",FA,"RB18","30","60","43.5","11.8","-"
"41",6,"Tony Romo",FA,"QB6","26","60","44.5","12.8","-"
"42",6,"LeGarrette Blount",FA,"RB19","39","55","46.0","5.7","-"
"43",6,"Dez Bryant",FA,"WR17","33","68","46.8","13.0","-"
"44",6,"Cedric Benson",FA,"RB20","35","61","47.5","10.1","-"
"45",6,"Brandon Lloyd",FA,"WR18","38","64","50.0","9.3","-"
"46",6,"Jason Witten",FA,"TE2","36","86","50.8","20.5","-"
"47",6,"Ryan Mathews",FA,"RB21","47","54","50.8","2.6","-"
"48",6,"Jermichael Finley",FA,"TE3","40","71","51.3","12.1","-"
"49",6,"Vernon Davis",FA,"TE4","43","56","51.3","5.4","-"
"50",6,"Mark Ingram II",FA,"RB22","27","65","51.5","14.9","-"
"51",6,"Matt Schaub",FA,"QB7","44","62","51.8","6.7","-"
"52",6,"Santonio Holmes",FA,"WR19","50","54","52.0","1.6","-"
"53",6,"Jeremy Maclin",FA,"WR20","40","59","52.3","7.8","-"
"54",7,"Matt Ryan",FA,"QB8","39","63","54.5","9.4","-"
"55",7,"DeAngelo Williams",FA,"RB23","44","76","56.0","12.5","-"
"56",7,"Dallas Clark",FA,"TE5","40","85","57.0","17.0","-"
"57",7,"Steve Johnson",FA,"WR21","43","64","57.5","8.5","-"
"58",7,"Percy Harvin",FA,"WR22","41","81","59.0","14.3","-"
"59",7,"Anquan Boldin",FA,"WR23","46","70","59.0","9.9","-"
"60",7,"Ben Roethlisberger",FA,"QB9","46","75","64.3","10.9","-"
"61",7,"Felix Jones",FA,"RB24","34","114","64.5","31.9","-"
"62",7,"Fred Jackson",FA,"RB25","56","79","65.8","8.4","-"
"63",7,"Sidney Rice",FA,"WR24","57","84","70.8","9.7","-"
"64",8,"Daniel Thomas",FA,"RB26","52","84","72.8","12.4","-"
"65",8,"Matthew Stafford",LAR,"QB10","61","83","72.8","9.1","-"
"66",8,"Marshawn Lynch",FA,"RB27","71","81","74.0","4.1","-"
"67",8,"Josh Freeman",FA,"QB11","66","92","75.0","10.6","-"
"68",8,"BenJarvus Green-Ellis",FA,"RB28","54","118","76.0","25.4","-"
"69",8,"Jonathan Stewart",FA,"RB29","56","95","76.3","17.0","-"
"70",8,"Owen Daniels",FA,"TE6","65","98","76.3","12.9","-"
"71",8,"Ryan Grant",FA,"RB30","71","87","77.5","6.5","-"
"72",8,"Santana Moss",FA,"WR25","63","94","78.0","11.4","-"
"73",8,"Peyton Manning",FA,"QB12","16","69","37.7","22.7","-"
"74",8,"Eli Manning",FA,"QB13","37","95","78.8","24.2","-"
"75",8,"Pierre Garcon",FA,"WR26","75","86","80.0","4.6","-"
"76",8,"Kenny Britt",FA,"WR27","58","106","80.8","22.4","-"
"77",8,"Joe Flacco",FA,"QB14","58","105","81.3","18.7","-"
"78",8,"Joseph Addai",FA,"RB31","62","122","82.0","23.7","-"
"79",8,"Sam Bradford",FA,"QB15","65","106","83.0","14.8","-"
"80",8,"Mario Manningham",FA,"WR28","47","153","84.3","40.7","-"
"81",8,"Chris Beanie Wells",FA,"RB32","61","109","84.5","21.6","-"
"82",8,"Mike Thomas",FA,"WR29","73","113","85.5","16.0","-"
"83",8,"Chad Johnson",FA,"WR30","49","144","87.5","34.8","-"
"84",8,"Jimmy Graham",NO,"TE7","54","104","87.8","20.1","-"
"85",8,"Mike Tolbert",FA,"RB33","60","141","91.8","29.9","-"
"86",8,"Austin Collie",FA,"WR31","78","114","91.8","15.0","-"
"87",9,"Brandon Jacobs",FA,"RB34","88","104","96.0","6.0","-"
"88",9,"Steve Smith",FA,"WR32","77","121","97.5","17.5","-"
"89",9,"Danny Amendola",FA,"WR33","55","70","64.3","6.7","-"
"90",9,"Julio Jones",PHI,"WR34","74","134","98.8","22.0","-"
"91",9,"Tim Hightower",FA,"RB35","58","72","65.3","5.7","-"
"92",9,"Rob Gronkowski",FA,"TE8","74","128","100.0","20.9","-"
"93",9,"Braylon Edwards",FA,"WR35","86","108","100.0","8.8","-"
"94",9,"Hines Ward",FA,"WR36","80","114","100.5","12.5","-"
"95",9,"Tony Gonzalez",FA,"TE9","95","116","101.5","8.6","-"
"96",9,"C.J. Spiller",FA,"RB36","74","130","103.0","20.3","-"
"97",9,"Johnny Knox",FA,"WR37","92","118","103.3","11.1","-"
"98",9,"Zach Miller",FA,"TE10","87","128","105.0","16.5","-"
"99",9,"Jay Cutler",FA,"QB16","59","139","107.3","29.5","-"
"100",9,"Lance Moore",FA,"WR38","70","88","79.7","7.4","-"
"101",9,"Reggie Bush",FA,"RB37","81","148","112.3","25.8","-"
"102",9,"Kellen Winslow",FA,"TE11","79","180","112.5","39.6","-"
"103",9,"Marcedes Lewis",CHI,"TE12","84","127","113.0","17.0","-"
"104",9,"Michael Crabtree",FA,"WR39","75","162","113.8","34.2","-"
"105",9,"Deion Branch",FA,"WR40","86","159","115.8","27.3","-"
"106",9,"Chris Cooley",FA,"TE13","88","161","117.5","27.9","-"
"107",9,"Matt Cassel",FA,"QB17","98","134","117.5","13.1","-"
"108",9,"Davone Bess",FA,"WR41","82","109","92.0","12.1","-"
"109",9,"Robert Meachem",FA,"WR42","64","148","119.5","33.7","-"
"110",9,"James Starks",FA,"RB38","97","146","119.5","18.0","-"
"111",10,"Pierre Thomas",FA,"RB39","103","146","120.8","16.2","-"
"112",10,"Michael Bush",FA,"RB40","92","96","94.7","1.9","-"
"113",10,"Kevin Kolb",FA,"QB18","94","160","121.3","24.6","-"
"114",10,"Brandon Pettigrew",FA,"TE14","99","160","121.3","23.6","-"
"115",10,"DeMarco Murray",FA,"RB41","102","145","121.3","16.6","-"
"116",10,"Lee Evans",FA,"WR43","104","158","122.5","22.1","-"
"117",10,"Danny Woodhead",FA,"RB42","115","137","125.0","7.9","-"
"118",10,"Malcom Floyd",FA,"WR44","116","149","125.3","13.8","-"
"119",10,"Mike Williams",FA,"DT1","90","153","125.8","22.9","-"
"120",10,"Greg Olsen",FA,"TE15","87","134","103.0","21.9","-"
"121",10,"Darren Sproles",FA,"RB43","93","112","103.3","7.8","-"
"122",10,"Jacoby Ford",FA,"WR45","77","124","104.0","19.8","-"
"123",10,"Ryan Torain",FA,"RB44","82","172","128.3","31.9","-"
"124",10,"A.J. Green",FA,"WR46","90","119","107.3","12.5","-"
"125",10,"LaDainian Tomlinson",FA,"RB45","100","132","113.0","13.7","-"
"126",10,"Jerome Simpson",FA,"WR47","108","164","136.5","19.9","-"
"127",10,"Mark Sanchez",FA,"QB19","91","140","115.7","20.0","-"
"128",10,"Dustin Keller",FA,"TE16","91","138","116.3","19.4","-"
"129",10,"Pittsburgh Steelers",PIT,"DST1","105","133","116.7","11.9","-"
"130",10,"Colt McCoy",FA,"QB20","96","167","138.5","26.4","-"
"131",10,"Roy Helu",FA,"RB46","101","144","118.3","18.5","-"
"132",10,"James Jones",FA,"WR48","101","195","141.0","34.4","-"
"133",10,"Nate Burleson",FA,"WR49","101","147","123.0","18.8","-"
"134",10,"Ronnie Brown",FA,"RB47","106","186","142.5","30.9","-"
"135",10,"Derrick Mason",FA,"WR50","112","146","124.3","15.4","-"
"136",10,"Aaron Hernandez",FA,"TE17","109","181","143.5","31.4","-"
"137",10,"Ryan Fitzpatrick",FA,"QB21","85","166","129.3","33.5","-"
"138",11,"Ryan Williams",FA,"RB48","83","112","97.5","14.5","-"
"139",11,"Mike Sims-Walker",FA,"WR51","114","147","133.0","13.9","-"
"140",11,"Green Bay Packers",GB,"DST2","126","137","133.0","5.0","-"
"141",11,"Plaxico Burress",FA,"WR52","98","102","100.0","2.0","-"
"142",11,"Thomas Jones",FA,"RB49","125","183","150.8","21.0","-"
"143",11,"Jordy Nelson",FA,"WR53","120","159","138.3","16.0","-"
"144",11,"Donald Brown",FA,"RB50","130","173","154.8","16.3","-"
"145",11,"Brent Celek",FA,"TE18","115","167","140.3","21.3","-"
"146",11,"Lance Kendricks",FA,"TE19","90","141","115.5","25.5","-"
"147",11,"Antonio Brown",FA,"WR54","103","129","116.0","13.0","-"
"148",11,"Willis McGahee",FA,"RB51","107","125","116.0","9.0","-"
"149",11,"Kyle Orton",FA,"QB22","117","189","145.7","31.2","-"
"150",11,"Greg Little",FA,"WR55","130","157","146.7","11.9","-"
"151",11,"Roy Williams",FA,"WR56","133","157","148.7","11.1","-"
"152",11,"Steve Smith",FA,"WR57","133","168","150.3","14.3","-"
"153",11,"Kendall Hunter",FA,"RB52","130","175","151.7","18.4","-"
"154",11,"Isaac Redman",FA,"RB53","138","180","154.3","18.4","-"
"155",11,"Deji Karim",FA,"RB54","108","158","133.0","25.0","-"
"156",11,"Jacquizz Rodgers",FA,"RB55","145","170","155.7","10.5","-"
"157",11,"Todd Heap",FA,"TE20","131","197","167.0","23.7","-"
"158",11,"Anthony Armstrong",FA,"WR58","102","165","133.5","31.5","-"
"159",11,"Jason Snelling",FA,"RB56","126","144","135.0","9.0","-"
"160",11,"New York Jets",NYJ,"DST3","132","143","137.5","5.5","-"
"161",11,"Cam Newton",FA,"QB23","135","140","137.5","2.5","-"
"162",11,"Delone Carter",FA,"RB57","76","76","76.0","0.0","-"
"163",11,"Donald Driver",FA,"WR59","109","169","139.0","30.0","-"
"164",11,"Tim Tebow",FA,"TE21","138","142","140.0","2.0","-"
"165",11,"Carnell Cadillac Williams",FA,"RB58","135","190","160.3","22.7","-"
"166",11,"Brandon Gibson",FA,"WR60","137","190","160.3","22.1","-"
"167",11,"Jacoby Jones",FA,"WR61","89","192","140.5","51.5","-"
"168",11,"Philadelphia Eagles",PHI,"DST4","133","152","142.5","9.5","-"
"169",12,"Stephen Gostkowski",FA,"K1","118","189","163.3","32.1","-"
"170",12,"Victor Cruz",FA,"WR62","89","89","89.0","0.0","-"
"171",12,"Benjamin Watson",FA,"TE22","129","191","163.7","25.8","-"
"172",12,"Bernard Berrian",FA,"WR63","144","148","146.0","2.0","-"
"173",12,"Donovan McNabb",FA,"QB24","135","188","165.0","22.2","-"
"174",12,"Ben Tate",FA,"RB59","117","182","149.5","32.5","-"
"175",12,"Mikel Leshoure",FA,"RB60","100","100","100.0","0.0","-"
"176",12,"Ricky Williams",FA,"RB61","146","155","150.5","4.5","-"
"177",12,"Eddie Royal",FA,"WR64","131","171","151.0","20.0","-"
"178",12,"LaRod Stephens-Howling",FA,"RB62","142","160","151.0","9.0","-"
"179",12,"Heath Miller",FA,"TE23","141","165","153.0","12.0","-"
"180",12,"Matt Bryant",FA,"K2","127","186","156.5","29.5","-"
"181",12,"Kevin Walter",FA,"WR65","136","179","157.5","21.5","-"
"182",12,"Arrelious Benn",FA,"WR66","147","169","158.0","11.0","-"
"183",12,"New England Patriots",NE,"DST5","140","178","159.0","19.0","-"
"184",12,"Jared Cook",FA,"TE24","151","168","159.5","8.5","-"
"185",12,"Randy Moss",FA,"WR67","119","119","119.0","0.0","-"
"186",12,"Earl Bennett",FA,"WR68","149","194","173.7","18.6","-"
