"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Le'Veon Bell",FA,"RB1","1","10","2.3","1.9","0"
"2",1,"Jamaal Charles",FA,"RB2","1","13","4.3","2.9","+2"
"3",1,"Adrian Peterson",FA,"RB3","1","14","4.4","3.8","-1"
"4",1,"Antonio Brown",FA,"WR1","1","12","4.4","2.2","-1"
"5",1,"Eddie Lacy",FA,"RB4","1","15","5.3","3.2","0"
"6",2,"Julio Jones",PHI,"WR2","2","21","7.4","2.5","+1"
"7",2,"Demaryius Thomas",FA,"WR3","4","21","9.1","3.0","+5"
"8",2,"Dez Bryant",FA,"WR4","3","22","9.4","3.7","0"
"9",2,"Rob Gronkowski",FA,"TE1","4","19","9.7","4.4","0"
"10",2,"Odell Beckham Jr.",BAL,"WR5","5","24","11.3","4.0","0"
"11",2,"Matt Forte",FA,"RB5","1","31","11.8","7.4","+2"
"12",3,"C.J. Anderson",FA,"RB6","1","32","12.2","4.9","-1"
"13",3,"Marshawn Lynch",FA,"RB7","3","25","13.3","4.1","-7"
"14",3,"A.J. Green",FA,"WR6","8","21","14.3","3.1","+3"
"15",3,"Calvin Johnson",FA,"WR7","6","23","14.4","4.0","-1"
"16",3,"Randall Cobb",NYJ,"WR8","4","25","15.9","4.0","+3"
"17",3,"Justin Forsett",FA,"RB8","3","44","18.4","7.5","+5"
"18",3,"Jeremy Hill",FA,"RB9","6","38","19.3","5.4","-2"
"19",3,"DeMarco Murray",FA,"RB10","3","41","19.7","6.0","-4"
"20",4,"Alshon Jeffery",FA,"WR9","9","52","22.6","8.1","+4"
"21",4,"T.Y. Hilton",FA,"WR10","14","39","24.0","5.9","+2"
"22",4,"Brandin Cooks",DAL,"WR11","9","47","24.1","6.8","+3"
"23",4,"Lamar Miller",FA,"RB11","8","55","25.0","7.8","+4"
"24",4,"LeSean McCoy",FA,"RB12","8","44","25.2","7.5","-4"
"25",4,"Mike Evans",TB,"WR12","10","50","25.9","8.7","+1"
"26",4,"DeAndre Hopkins",TEN,"WR13","10","53","26.4","6.7","+3"
"27",4,"Andrew Luck",FA,"QB1","20","48","27.9","3.9","-9"
"28",4,"Aaron Rodgers",NYJ,"QB2","23","50","29.5","4.5","-7"
"29",4,"Frank Gore",FA,"RB13","14","51","29.7","8.1","-1"
"30",4,"Jordan Matthews",CAR,"WR14","14","56","30.9","9.4","+1"
"31",5,"Mark Ingram II",FA,"RB14","17","54","35.6","6.7","+1"
"32",5,"Emmanuel Sanders",FA,"WR15","18","77","37.0","11.2","+1"
"33",5,"Julian Edelman",FA,"WR16","20","65","38.1","10.5","+9"
"34",5,"Andre Ellington",FA,"RB15","14","136","38.7","17.5","+4"
"35",5,"Andre Johnson",FA,"WR17","21","65","39.4","9.7","+4"
"36",5,"Latavius Murray",BUF,"RB16","25","110","42.0","13.2","-1"
"37",5,"Jonathan Stewart",FA,"RB17","24","94","43.1","13.3","+11"
"38",5,"Keenan Allen",LAC,"WR18","28","70","43.8","10.6","+7"
"39",5,"Amari Cooper",CLE,"WR19","25","111","44.8","13.0","+1"
"40",5,"Jarvis Landry",FA,"WR20","19","73","45.8","10.9","+10"
"41",5,"C.J. Spiller",FA,"RB18","13","109","46.0","16.9","+15"
"42",5,"Ameer Abdullah",LV,"RB19","14","84","44.0","13.5","+2"
"43",5,"Jimmy Graham",NO,"TE2","25","85","46.3","13.7","-13"
"44",5,"Golden Tate",FA,"WR21","25","69","46.4","10.8","-3"
"45",6,"Brandon Marshall",FA,"WR22","25","69","47.9","9.9","+12"
"46",6,"Greg Olsen",FA,"TE3","26","75","50.0","10.7","+3"
"47",6,"Melvin Gordon III",BAL,"RB20","26","97","50.1","15.3","-13"
"48",6,"Alfred Morris",FA,"RB21","25","91","50.8","14.0","-12"
