"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR2","7","3 out of 5 stars","+1"
"3",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","-1"
"4",1,"Tyreek Hill",MIA,"WR3","10","2 out of 5 stars","+2"
"5",2,"Stefon Diggs",BUF,"WR4","13","2 out of 5 stars","+4"
"6",2,"Austin Ekeler",LAC,"RB2","5","5 out of 5 stars","-2"
"7",2,"CeeDee Lamb",DAL,"WR5","7","4 out of 5 stars","+5"
"8",2,"Amon-Ra St. Brown",DET,"WR6","9","3 out of 5 stars","+12"
"9",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-4"
"10",2,"A.J. Brown",PHI,"WR7","10","4 out of 5 stars","+5"
"11",2,"Davante Adams",LV,"WR8","13","3 out of 5 stars","0"
"12",2,"Saquon Barkley",NYG,"RB3","13","4 out of 5 stars","-5"
"13",2,"Garrett Wilson",NYJ,"WR9","7","4 out of 5 stars","+6"
"14",3,"Bijan Robinson",ATL,"RB4","11","4 out of 5 stars","-6"
"15",3,"Tony Pollard",DAL,"RB5","7","3 out of 5 stars","+1"
"16",3,"Nick Chubb",CLE,"RB6","5","2 out of 5 stars","-6"
"17",3,"Jaylen Waddle",MIA,"WR10","10","2 out of 5 stars","+6"
"18",3,"Chris Olave",NO,"WR11","11","3 out of 5 stars","+6"
"19",3,"Josh Jacobs",LV,"RB7","13","2 out of 5 stars","-1"
"20",3,"Derrick Henry",TEN,"RB8","7","4 out of 5 stars","-3"
"21",3,"DeVonta Smith",PHI,"WR12","10","4 out of 5 stars","+4"
"22",4,"Tee Higgins",CIN,"WR13","7","3 out of 5 stars","+5"
"23",4,"Keenan Allen",LAC,"WR14","5","3 out of 5 stars","+18"
"24",4,"Cooper Kupp",LAR,"WR15","10","4 out of 5 stars","-11"
"25",4,"Patrick Mahomes II",KC,"QB1","10","5 out of 5 stars","-11"
"26",4,"Jalen Hurts",PHI,"QB2","10","3 out of 5 stars","-4"
"27",4,"Josh Allen",BUF,"QB3","13","3 out of 5 stars","-6"
"28",4,"Rhamondre Stevenson",NE,"RB9","11","4 out of 5 stars","+2"
"29",4,"Calvin Ridley",JAC,"WR16","9","3 out of 5 stars","+6"
"30",4,"DK Metcalf",SEA,"WR17","5","3 out of 5 stars","+1"
"31",4,"Mark Andrews",BAL,"TE2","13","3 out of 5 stars","-2"
"32",4,"Joe Mixon",CIN,"RB10","7","2 out of 5 stars","0"
"33",4,"Amari Cooper",CLE,"WR18","5","3 out of 5 stars","+7"
"34",4,"Jahmyr Gibbs",DET,"RB11","9","3 out of 5 stars","-1"
"35",5,"Najee Harris",PIT,"RB12","6","4 out of 5 stars","-9"
"36",5,"Travis Etienne Jr.",JAC,"RB13","9","3 out of 5 stars","-8"
"37",5,"Aaron Jones",GB,"RB14","6","2 out of 5 stars","0"
"38",5,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-4"
"39",5,"Deebo Samuel",SF,"WR19","9","3 out of 5 stars","-1"
"40",5,"DeAndre Hopkins",TEN,"WR20","7","2 out of 5 stars","+12"
"41",5,"DJ Moore",CHI,"WR21","13","4 out of 5 stars","+10"
"42",5,"Chris Godwin",TB,"WR22","5","4 out of 5 stars","+25"
"43",5,"Drake London",ATL,"WR23","11","4 out of 5 stars","+23"
"44",5,"Diontae Johnson",PIT,"WR24","6","1 out of 5 stars","+31"
"45",5,"Tyler Lockett",SEA,"WR25","5","3 out of 5 stars","+23"
"46",5,"Joe Burrow",CIN,"QB5","7","1 out of 5 stars","-10"
"47",5,"Christian Watson",GB,"WR26","6","3 out of 5 stars","+8"
"48",5,"Terry McLaurin",WAS,"WR27","14","3 out of 5 stars","+5"
"49",5,"Justin Herbert",LAC,"QB6","5","4 out of 5 stars","-7"
"50",5,"Brandon Aiyuk",SF,"WR28","9","3 out of 5 stars","+21"
"51",5,"Justin Fields",CHI,"QB7","13","4 out of 5 stars","-7"
"52",5,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","-7"
"53",6,"Breece Hall",NYJ,"RB15","7","5 out of 5 stars","-14"
