Player,ADP
Jimmy Graham,11
Tony Gonzalez,93
Jermaine Gresham,102.3
Jacob Tamme,110
Jared Cook,111.7
Greg Olsen,119.7
Brent Celek,123
Owen Daniels,131.7
Coby Fleener,138.7
Kyle Rudolph,142.7
Dustin Keller,127.5
Rob Gronkowski,14.3
Kellen Winslow,150
Martellus Bennett,159.5
Joel Dreessen,208
Dallas Clark,178.5
Scott Chandler,201.5
Marcedes Lewis,205.5
Benjamin Watson,165
Kevin Boss,168
Lance Kendricks,199
Heath Miller,196.5
Antonio Gates,41.7
Ed Dickson,199
Tony Moeaki,212
Tim Tebow,221
Aaron Hernandez,41.7
Vernon Davis,53.3
Jermichael Finley,58.7
Brandon Pettigrew,70.7
Jason Witten,72
Fred Davis,76.3
