Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
T. Brady,NE,1,2035,2,1910,1,35.1%,2,32.3%,2,77.2,662,4623,1,6312,34,2,0,8,63.6%,14/220,18,1.5
P. Manning,DEN,2,1805,1,1956,2,32.8%,1,36.5%,1,78.9,602,4526,2,5751,37,0,2,11,69.0%,11/177,8,2.4
D. Brees,NO,3,1441,3,1397,5,19.8%,7,18.9%,9,66.8,693,4914,3,5711,43,3,1,18,63.7%,4/50,2,3.7
A. Rodgers,GB,4,1395,5,1276,4,23.4%,3,20.4%,6,71.3,602,4016,5,5156,39,1,4,8,67.7%,9/178,1,3.8
M. Ryan,ATL,5,1196,4,1315,8,16.5%,6,19.2%,7,69.5,644,4502,7,5106,32,1,2,14,68.6%,6/60,15,1.8
M. Stafford,DET,6,1160,7,891,12,12.2%,14,6.8%,15,57.7,753,4766,4,5576,20,1,3,17,60.2%,7/140,9,2.4
T. Romo,DAL,7,1156,6,1036,10,14.8%,11,12.1%,11,64.6,683,4635,6,5146,28,1,3,19,66.1%,7/124,5,3.1
R. Wilson,SEA,8,872,12,741,6,19.7%,8,15.1%,3,74.8,432,2935,14,3467,26,3,3,9,64.7%,6/122,13,2.0
B. Roethlisberger,PIT,9,761,11,764,11,13.2%,9,13.3%,5,71.9,473,3068,11,3558,25,1,2,8,64.3%,4/41,17,1.5
E. Manning,NYG,10,753,10,779,13,9.0%,13,9.7%,10,65.2,555,3785,8,4032,26,2,1,15,60.1%,12/232,4,3.4
R. Griffin,WAS,11,727,9,811,7,16.6%,4,19.8%,8,68.0,425,2961,20,3104,20,2,0,5,66.6%,5/91,30,0.0
M. Schaub,HOU,12,697,8,882,14,7.5%,10,12.5%,14,59.4,572,3811,9,3958,22,4,0,12,64.3%,7/121,34,-0.5
C. Kaepernick,SF,13,555,13,462,3,25.8%,5,19.6%,4,73.7,234,1687,26,1957,10,2,0,3,62.7%,2/43,24,0.8
C. Newton,CAR,14,422,15,422,15,2.0%,15,2.0%,16,55.7,521,3621,17,3186,19,5,1,12,58.1%,6/43,7,2.6
A. Smith,SF,15,418,18,365,9,14.8%,12,11.5%,13,64.3,243,1610,27,1866,13,0,1,5,70.3%,4/35,35,-1.0
