Player,ADP
Adrian Peterson,1
Matt Forte,11.5
Alfred Morris,12.5
Steven Jackson,17.8
Chris Johnson,18
Reggie Bush,20.8
Stevan Ridley,23.8
Maurice Jones-Drew,23.8
David Wilson,27.8
DeMarco Murray,29.8
Darren Sproles,30
Doug Martin,2.3
Frank Gore,31.3
Darren McFadden,39
Lamar Miller,40
Eddie Lacy,43.8
Ryan Mathews,52.3
Giovani Bernard,55.8
Montee Ball,59.3
Daryl Richardson,63.3
Ahmad Bradshaw,63.8
Shane Vereen,65.8
Jamaal Charles,3.5
Chris Ivory,71
Rashard Mendenhall,73.5
DeAngelo Williams,78.3
Mark Ingram II,84.5
BenJarvus Green-Ellis,84.5
Ben Tate,89.3
Bernard Pierce,108
Ronnie Hillman,110
Fred Jackson,111.3
Vick Ballard,114.3
Arian Foster,4
Bryce Brown,114.5
Danny Woodhead,115.3
Pierre Thomas,126.8
Jacquizz Rodgers,133
Mikel Leshoure,141.8
Joique Bell,150
Le'Veon Bell,88.7
Knowshon Moreno,151.8
Isaac Redman,154
Shonn Greene,155
C.J. Spiller,5.3
Michael Bush,155.8
Cordarrelle Patterson,157
Isaiah Pead,158.8
Bilal Powell,159
LaMichael James,163.8
Christine Michael,165.3
Roy Helu,170.8
Andre Brown,121.7
Daniel Thomas,178
Kendall Hunter,185.5
Ray Rice,7.3
Joseph Randle,188.5
Marcel Reece,195.3
Jonathan Stewart,153
Johnathan Franklin,173
Jonathan Dwyer,177
Denard Robinson,221
LeGarrette Blount,225.3
Zac Stacy,199.3
Knile Davis,212
Ryan Williams,214
LeSean McCoy,8
Robert Turbin,218.3
Felix Jones,219
Marcus Lattimore,223.3
Toby Gerhart,232.7
Mike Tolbert,238.3
Marshawn Lynch,8.5
DuJuan Harris,220.5
Trent Richardson,9.3
