Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Drew Brees,37,16,5.5,2.2,98,7.8,11.1,325.5,66.8,7.18,7.27,2,4,BreeDr00
Matt Ryan,31,16,7.1,1.3,76,10.1,13.3,309.0,79.6,8.25,9.03,1,2,RyanMa00
Kirk Cousins,28,16,4.1,2.0,80,8.0,12.1,307.3,66.5,7.52,7.45,4,4,CousKi00
Aaron Rodgers,33,16,6.6,1.1,66,8.1,11.0,276.8,72.4,6.48,7.24,0,2,RodgAa00
Philip Rivers,35,16,5.7,3.6,59,7.1,12.6,274.1,58.7,6.84,6.37,1,1,RivePh00
Matthew Stafford,28,16,4.0,1.7,73,7.3,11.2,270.4,65.2,6.52,6.56,8,8,StafMa00
Joe Flacco,31,16,3.0,2.2,95,6.0,9.9,269.8,52.5,5.78,5.39,2,2,FlacJo00
Andrew Luck,27,15,5.7,2.4,64,7.8,12.3,282.7,65.9,6.78,6.84,4,4,LuckAn00
Carson Palmer,37,15,4.4,2.3,80,6.9,11.6,282.2,52.9,6.20,6.03,1,3,PalmCa00
Russell Wilson,28,16,3.8,2.0,59,7.6,12.0,263.7,57.1,6.69,6.56,4,3,WilsRu00
Andy Dalton,29,16,3.2,1.4,86,7.5,11.6,262.9,52.3,6.53,6.53,2,1,DaltAn00
Jameis Winston,22,16,4.9,3.2,45,6.8,11.9,255.6,59.5,6.40,5.98,1,3,WinsJa00
Eli Manning,35,16,4.3,2.7,75,6.4,10.7,251.7,45.7,6.28,5.95,3,6,MannEl00
Derek Carr,25,15,5.0,1.1,75,7.5,11.0,262.5,56.1,6.70,7.20,7,7,CarrDe02
Blake Bortles,24,16,3.7,2.6,51,5.8,10.6,244.1,43.0,5.63,5.23,1,1,BortBl00
Sam Bradford,29,15,3.6,0.9,71,7.3,9.8,258.5,53.1,6.11,6.41,1,1,BradSa00
Ben Roethlisberger,34,14,5.7,2.6,72,7.5,11.6,272.8,60.5,6.99,6.98,2,2,RoetBe00
Carson Wentz,24,16,2.6,2.3,73,5.7,10.0,236.4,46.7,5.58,5.09,1,1,WentCa00
Dak Prescott,23,16,5.0,0.9,83,8.6,11.8,229.2,77.6,7.28,7.86,5,5,PresDa01
Tom Brady,39,12,6.5,0.5,79,9.3,12.2,296.2,79.4,7.76,8.81,1,1,BradTo00
Cam Newton,27,14,3.7,2.7,88,6.4,13.0,233.9,47.1,5.92,5.46,,,NewtCa00
Alex Smith,32,15,3.1,1.6,80,7.0,10.7,233.5,60.8,6.50,6.39,3,3,SmitAl03
Marcus Mariota,23,15,5.8,2.0,60,7.9,12.4,228.4,59.1,6.90,7.14,2,2,MariMa01
Trevor Siemian,25,14,3.7,2.1,76,6.8,11.8,242.9,49.7,6.22,6.04,3,2,SiemTr00
Tyrod Taylor,27,15,3.9,1.4,84,7.1,11.2,201.5,62.4,5.92,6.07,1,1,TaylTy00
Ryan Tannehill,28,13,4.9,3.1,74,7.3,11.5,230.4,48.6,6.65,6.27,3,3,TannRy00
Brock Osweiler,26,14,2.9,3.1,53,5.0,9.8,197.1,49.3,5.12,4.34,2,2,OsweBr00
Ryan Fitzpatrick,34,11,3.0,4.2,57,5.4,11.9,193.6,39.2,6.23,4.99,,,FitzRy00
Colin Kaepernick,29,11,4.8,1.2,65,7.2,11.4,186.8,49.2,5.54,5.92,1,1,KaepCo00
Case Keenum,28,9,2.8,3.4,65,5.9,11.2,220.1,37.5,5.97,5.06,1,2,KeenCa00
Matt Barkley,26,6,3.7,6.5,37,5.3,12.5,230.1,33.6,7.06,4.95,,,BarkMa00
Brian Hoyer,31,5,3.0,0.0,64,7.8,10.8,240.8,55.1,7.00,7.58,,,HoyeBr00
Cody Kessler,23,8,3.1,1.0,44,7.2,10.8,153.3,43.4,5.74,5.88,,,KessCo00
