Player,ADP
Brandin Cooks,19.8
Chris Conley,231.0
Paul Richardson,230.7
Curtis Samuel,230.3
Jaron Brown,229.7
William Fuller,226.7
Tavon Austin,225.7
Amari Cooper,18.0
Mike Williams,218.7
ArDarius Stewart,218.3
Cameron Meredith,224.5
Robert Woods,211.0
Julian Edelman,212.0
Devin Funchess,207.0
Allen Hurns,205.7
Brandon LaFell,204.7
Malcolm Mitchell,201.0
J.J. Nelson,196.3
Michael Thomas,12.0
Breshad Perriman,192.0
Torrey Smith,209.5
John Ross,162.3
Kenny Golladay,161.7
Marqise Lee,190.8
Danny Amendola,192.3
Kendall Wright,186.0
Kenny Stills,181.8
Mohamed Sanu,180.5
Robbie Anderson,144.7
Jordy Nelson,10.4
Taylor Gabriel,172.3
Josh Doctson,166.3
Tyler Lockett,160.0
Cole Beasley,153.8
Sterling Shepard,146.8
Zay Jones,128.3
Corey Davis,117.3
Cooper Kupp,144.4
Mike Wallace,108.3
Kenny Britt,106.3
A.J. Green,8.6
Kevin White,138.8
Ted Ginn,131.4
Donte Moncrief,84.0
John Brown,121.8
Jordan Matthews,120.6
Rishard Matthews,119.6
Marvin Jones,117.2
Corey Coleman,109.0
Chris Hogan,103.6
Adam Thielen,100.8
Mike Evans,7.0
Tyrell Williams,93.0
Randall Cobb,90.6
Eric Decker,90.4
DeSean Jackson,87.2
Willie Snead,84.8
Jeremy Maclin,84.6
Pierre Garcon,70.0
Brandon Marshall,67.0
Jamison Crowder,63.8
DeVante Parker,61.4
Odell Beckham,5.2
Emmanuel Sanders,60.0
Sammy Watkins,59.0
Stefon Diggs,56.8
Jarvis Landry,52.8
Martavis Bryant,51.2
Kelvin Benjamin,51.2
Tyreek Hill,50.4
Larry Fitzgerald,47.8
Allen Robinson,47.2
Golden Tate,46.4
Julio Jones,4.0
Davante Adams,41.6
Michael Crabtree,41.0
Alshon Jeffery,37.0
Terrelle Pryor,33.4
Keenan Allen,32.6
Demaryius Thomas,30.2
DeAndre Hopkins,28.2
T.Y. Hilton,26.2
Doug Baldwin,22.8
Dez Bryant,20.2
Antonio Brown,3.0
