Player,ADP
Andrew Luck,92
Kirk Cousins,88
Carson Wentz,81.2
Drew Brees,71.4
Cam Newton,63.4
Russell Wilson,54.4
Lamar Jackson,255.7
Baker Mayfield,235.7
Deshaun Watson,47.8
Joe Flacco,229
Ryan Tannehill,217
Case Keenum,188
Andy Dalton,184.3
Blake Bortles,184
Tyrod Taylor,196.8
Eli Manning,176.5
Jameis Winston,164.5
Mitch Trubisky,175.8
Dak Prescott,141.8
Tom Brady,47.8
Derek Carr,138.4
Marcus Mariota,137.4
Alex Smith,134.4
Jared Goff,121
Patrick Mahomes,120.8
Philip Rivers,109
Matt Ryan,107
Jimmy Garoppolo,105.2
Ben Roethlisberger,100.6
Matthew Stafford,97
Aaron Rodgers,28.2
