Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Ben Roethlisberger,PIT,36,QB,16,16,9-6-1,452,675,67.0,5129,34,5.0,16,2.4,248,50.9,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,3.4,7.10,7.04,2,3,RoetBe00
2,Patrick Mahomes*+,KAN,23,QB,16,16,12-4-0,383,580,66.0,5097,50,8.6,12,2.1,237,54.1,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,4.3,8.13,8.89,2,2,MahoPa00
3,Matt Ryan,ATL,33,QB,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,236,51.7,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,6.5,7.12,7.71,1,1,RyanMa00
4,Jared Goff*,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,233,50.7,70,8.4,8.5,12.9,293.0,101.1,63.6,33,223,5.6,7.52,7.69,4,4,GoffJa00
5,Andrew Luck*,IND,29,QB,16,16,10-6-0,430,639,67.3,4593,39,6.1,15,2.3,236,53.0,68,7.2,7.4,10.7,287.1,98.7,69.6,18,134,2.7,6.79,6.95,3,3,LuckAn00
6,Aaron Rodgers*,GNB,35,QB,16,16,6-9-1,372,597,62.3,4442,25,4.2,2,0.3,200,45.8,75,7.4,8.1,11.9,277.6,97.6,58.0,49,353,7.6,6.33,6.96,3,3,RodgAa00
7,Tom Brady*,NWE,41,QB,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,205,51.8,63,7.6,7.8,11.6,272.2,97.7,68.4,21,147,3.6,7.12,7.26,1,2,BradTo00
8,Philip Rivers*,LAC,37,QB,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,211,52.0,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,5.9,7.60,7.79,3,3,RivePh00
9,Eli Manning,NYG,37,QB,16,16,5-11-0,380,576,66.0,4299,21,3.6,11,1.9,205,43.0,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,7.5,6.33,6.21,1,2,MannEl00
10,Kirk Cousins,MIN,30,QB,16,16,8-7-1,425,606,70.1,4298,30,5.0,10,1.7,218,49.4,75,7.1,7.3,10.1,268.6,99.7,59.5,40,262,6.2,6.25,6.48,1,0,CousKi00
11,Deshaun Watson*,HOU,23,QB,16,16,11-5-0,345,505,68.3,4165,26,5.1,9,1.8,202,46.4,73,8.2,8.5,12.1,260.3,103.1,61.8,62,384,10.9,6.67,6.87,5,5,WatsDe00
