,Games,O Drives,O Plays,O Score%,O Turnover%,O Plays Per Driv,O Yards,O Start,O Time,O Points,D Drives,D Plays,D Score%,D Turnover,D Plays per Drive,D Yards,D Start,D Time,D Points,Wins,Net Drives
Arizona Cardinals,16,171,1028,34.5,9.9,6,29.3,Own 26.3,2:42,1.81,166,1036,44,9,6.2,34.4,Own 32.2,3:00,2.5,4,-0.69
Atlanta Falcons,16,183,1068,32.8,13.7,5.8,28.8,Own 27.7,2:34,1.62,183,1063,36.1,8.7,5.8,27.6,Own 29.2,2:41,1.72,7,-0.1
Baltimore Ravens,16,185,1055,44.9,9.2,5.7,32.6,Own 33.2,2:44,2.47,183,1081,29,14.2,5.9,26.4,Own 27.1,2:33,1.35,13,1.12
Buffalo Bills,16,172,1067,42.4,14,6.2,34.2,Own 29.4,2:57,2.41,172,996,32.6,15.7,5.8,28.8,Own 27.3,2:41,1.67,10,0.74
Carolina Panthers,16,171,1075,26.3,10.5,6.3,25.2,Own 25.7,2:56,1.26,173,975,38.2,5.8,5.6,27.5,Own 31.8,2:39,2.16,2,-0.9
Chicago Bears,16,178,1083,37.6,13.5,6.1,29.7,Own 29.7,2:53,1.92,177,1006,33.9,14.7,5.7,28.6,Own 30.3,2:31,1.85,7,0.07
Cincinnati Bengals,16,176,1017,34.1,8.5,5.8,28.9,Own 28.2,2:47,1.82,174,1037,40.2,13.2,6,35.1,Own 28.1,2:47,2.08,8,-0.26
Cleveland Browns,16,209,1168,34,16.3,5.6,26,Own 29.7,2:30,1.73,210,966,23.8,11.9,4.6,20.3,Own 30.1,2:04,1.36,11,0.37
Dallas Cowboys,16,161,1088,49.7,8.7,6.8,36.6,Own 28.8,3:09,2.61,168,990,32.7,13.7,5.9,29.1,Own 27.0,2:42,1.79,11,0.82
Denver Broncos,16,179,992,35.8,10.6,5.5,26.7,Own 31.2,2:38,1.83,174,1043,39.7,13.8,6,33.9,Own 28.8,2:47,2.13,8,-0.3
Detroit Lions,16,176,1101,40.3,12.5,6.3,35.9,Own 30.2,2:53,2.41,174,995,37.4,12.1,5.7,30.2,Own 27.6,2:37,2.06,11,0.35
Green Bay Packers,16,167,1023,39.5,9,6.1,32.6,Own 30.2,2:50,2.14,167,1050,38.3,10.2,6.3,32.9,Own 27.5,2:55,2.01,8,0.13
Houston Texans,16,180,1064,37.2,7.8,5.9,30.6,Own 27.0,2:39,1.87,179,1049,34.6,11.7,5.9,29.4,Own 29.0,2:45,1.82,9,0.05
Indianapolis Colts,16,185,1069,35.7,9.7,5.8,29,Own 28.9,2:33,1.85,192,1121,39.1,12.5,5.8,29.1,Own 29.5,2:39,2.01,9,-0.16
Jacksonville Jaguars,16,185,1083,35.1,14.6,5.9,29.1,Own 31.1,2:40,1.85,185,1049,31.9,13,5.7,29.7,Own 28.3,2:34,1.78,9,0.07
Kansas City Chiefs,16,168,1047,40.5,14.9,6.2,33.7,Own 28.5,2:54,2.1,168,987,28,9.5,5.9,27.1,Own 29.2,2:48,1.53,10,0.57
Las Vegas Raiders,16,169,972,30.8,14.2,5.8,27,Own 29.8,2:42,1.59,175,1060,33.7,11.4,6.1,30.5,Own 26.3,2:53,1.79,7,-0.2
Los Angeles Chargers,16,179,1055,34.6,10.6,5.9,29.3,Own 27.2,2:34,1.82,179,1079,36.9,10.1,6,32.9,Own 29.4,2:50,2.09,5,-0.27
Los Angeles Rams,16,176,1075,41.5,9.1,6.1,33.2,Own 28.5,2:48,2.18,177,1057,36.7,7.9,6,30.6,Own 29.6,2:41,1.89,9,0.29
Miami Dolphins,16,177,1033,44.6,13,5.8,36.8,Own 30.0,2:46,2.58,178,1001,32.6,12.9,5.6,27.7,Own 29.0,2:38,1.88,11,0.7
Minnesota Vikings,16,168,1029,33.9,18.5,6.1,32.4,Own 27.1,2:45,1.85,175,1074,36.6,12,6.1,30.2,Own 29.9,2:53,1.85,7,0
New England Patriots,16,188,986,21.3,14.4,5.2,24.3,Own 26.0,2:24,1.17,189,1062,31.7,8.5,5.6,25.8,Own 31.4,2:42,1.63,4,-0.46
New Orleans Saints,16,182,1090,34.6,8.8,6,29.3,Own 30.5,2:44,1.81,183,1028,32.2,13.7,5.6,28.2,Own 27.0,2:32,1.62,8,0.19
