"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Tyson Bagent","CHI","5","159","143","94","6","76.3","859","0","6.5","3","0","0","6","5","9","2","0","6.3","1.4","24","109","2","0","3","4","2","16.7","3","2","12.5","0","1","63.3","0.4"
"C.J. Stroud","HST","14","531","473","299","24","73.6","3844","6","9.4","21","4","3","5","36","31","12","1","6.6","2.5","35","147","3","0","9","9","3","25.7","4","2","11.4","1","6","265.5","0.5"
"Anthony Richardson","IND","4","98","84","50","4","71.1","577","0","8","3","0","0","1","7","2","0","0","2.4","0","25","136","4","0","3","8","4","32","3","2","12","2","2","71.7","0.73"
"Bryce Young","CAR","15","599","509","304","15","71.7","2783","1","7.9","11","0","0","10","59","16","6","0","3.1","1.2","37","229","0","0","10","7","0","18.9","4","0","10.8","2","4","168.2","0.28"
"Sam Howell","WAS","16","680","585","369","28","75","3792","5","7.7","20","1","1","19","61","37","14","2","6.3","2.4","44","265","5","0","4","8","5","18.2","2","2","4.5","2","3","269.2","0.4"
"Dorian Thompson-Robinson","CLV","8","123","112","60","8","68","440","0","6.1","1","0","0","4","6","8","1","1","7.1","0.9","14","65","0","0","2","2","0","14.3","0","0","0","1","2","24.1","0.2"
"Will Levis","TEN","9","292","255","149","14","69.1","1808","1","11.1","8","3","1","4","28","15","4","1","5.9","1.6","25","57","1","0","7","3","1","12","2","1","8","1","1","112","0.38"
"Justin Fields","CHI","12","433","354","216","14","74.4","2414","1","8.8","16","1","1","9","38","30","13","3","8.5","3.7","117","626","4","0","10","22","4","18.8","5","2","4.3","0","2","238.2","0.55"
"Zach Wilson","NYJ","12","439","368","221","19","72.5","2271","1","7.9","8","2","2","7","46","12","3","0","3.3","0.8","36","211","0","0","11","2","0","5.6","0","0","0","2","3","136.9","0.31"
"Jaren Hall","MIN","3","27","20","13","0","68.4","168","0","6.8","0","0","0","1","4","1","0","0","5","0","6","14","0","0","2","1","0","16.7","1","0","16.7","0","0","7.1","0.26"
"Brock Purdy","SF","16","498","444","308","14","78.3","4280","5","8.6","31","7","3","11","28","21","13","1","4.7","2.9","39","144","2","0","6","7","2","17.9","2","2","5.1","0","0","310.6","0.62"
"Clayton Tune","ARZ","5","33","21","12","2","73.7","62","0","3.2","0","0","0","2","7","0","0","0","0","0","7","29","1","0","2","1","1","14.3","1","1","14.3","1","1","9.4","0.28"
"Trevor Lawrence","JAX","15","600","521","341","24","74.5","3737","2","8.7","19","3","2","12","35","36","14","1","6.9","2.7","66","329","4","0","13","13","4","19.7","4","3","6.1","1","3","270.4","0.45"
"Sam Ehlinger","IND","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tommy DeVito","NYG","8","234","176","112","12","78","1087","0","6.7","8","1","0","3","36","7","4","0","4","2.3","36","195","1","0","2","4","1","11.1","0","0","0","0","0","98","0.42"
"Aidan O'Connell","LV","10","337","312","193","19","73.6","1974","0","7.9","10","1","0","7","22","11","6","1","3.5","1.9","13","10","1","0","4","6","1","46.2","3","1","23.1","0","1","119","0.35"
"Kenny Pickett","PIT","12","363","324","201","13","71.8","2070","0","7.5","6","3","2","4","23","17","3","0","5.2","0.9","42","54","1","0","2","5","1","11.9","2","1","4.8","0","1","114.2","0.31"
"Malik Cunningham","BLT","1","1","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bailey Zappe","NE","9","208","182","115","8","72.4","1184","0","7.8","6","0","0","7","18","4","3","0","2.2","1.6","14","70","1","0","2","1","1","7.1","0","0","0","0","0","77.4","0.37"
"Malik Willis","TEN","3","12","5","4","0","80","74","0","7.6","0","0","0","0","4","1","0","0","20","0","5","21","0","0","1","1","0","20","0","0","0","0","0","5.1","0.42"
"Tua Tagovailoa","MIA","16","580","533","371","20","77.6","4510","5","8.1","28","7","5","12","29","33","12","3","6.2","2.3","34","67","0","0","14","9","0","26.5","2","0","5.9","0","2","287.1","0.5"
"Mac Jones","NE","11","379","345","224","13","72.3","2120","1","7.4","10","1","1","12","22","14","7","1","4.1","2","26","96","0","0","3","0","0","0","0","0","0","0","4","122.4","0.32"
"Desmond Ridder","ATL","14","409","358","227","13","71.9","2545","3","8.7","10","0","0","11","31","13","4","1","3.6","1.1","51","193","5","0","11","12","5","23.5","2","1","3.9","2","4","180.1","0.44"
"Davis Mills","HST","6","42","39","18","4","59.5","173","0","8.2","2","0","0","0","2","5","2","0","12.8","5.1","2","9","0","0","0","1","0","50","0","0","0","1","1","15.8","0.38"
"Sean Clifford","GB","2","1","1","1","0","100","37","0","33","0","0","0","0","0","0","0","0","0","0","3","-2","0","0","1","0","0","0","0","0","0","0","0","1.3","1.3"
"Josh Allen","BUF","16","608","541","355","27","76.1","3948","4","8.8","27","3","3","16","21","33","14","1","6.1","2.6","97","452","15","0","6","35","15","36.1","14","8","14.4","3","4","385.1","0.63"
"Mason Rudolph","PIT","3","59","54","37","0","77.1","567","0","8.9","2","2","2","0","3","1","0","0","1.9","0","8","9","0","0","0","3","0","37.5","1","0","12.5","0","0","31.6","0.54"
"Baker Mayfield","TB","16","602","534","344","21","73.7","3908","3","9.1","28","5","2","10","37","43","17","0","8.1","3.2","57","156","1","0","9","13","1","22.8","3","1","5.3","2","5","279.9","0.46"
"Brett Rypien","NYJ","2","44","38","18","2","58.8","172","0","8.7","0","0","0","1","2","0","0","0","0","0","3","19","0","0","2","0","0","0","0","0","0","0","0","7.8","0.18"
"Mike White","MIA","6","6","6","5","0","83.3","74","0","3.7","1","1","1","1","0","0","0","0","0","0","8","-14","0","0","1","0","0","0","0","0","0","0","0","4.6","0.77"
