id,player,team,opponent,position,salary,ownership
95781-85701,Ja'Marr Chase,CIN,HOU,WR,9300,23.5
95781-137902,Rachaad White,TB,TEN,RB,7000,22.9
95781-136855,Bijan Robinson,ATL,ARI,RB,6600,20.0
95781-86687,Marquise Brown,ARI,ATL,WR,6600,19.8
95781-103342,Kenneth Walker III,SEA,WAS,RB,7300,19.7
95781-40687,James Conner,ARI,ATL,RB,6500,19.6
95781-63759,Tony Pollard,DAL,NYG,RB,7800,19.4
95781-129291,Tank Dell,HOU,CIN,WR,6400,18.7
95781-27050,Tyler Lockett,SEA,WAS,WR,6800,16.3
95781-55050,Christian McCaffrey,SF,JAC,RB,10500,16.0
95781-52442,Joe Mixon,CIN,HOU,RB,7700,15.7
95781-16606,DeAndre Hopkins,TEN,TB,WR,7100,14.4
95781-63336,Joe Burrow,CIN,HOU,QB,8200,14.0
95781-89680,Jake Ferguson,DAL,NYG,TE,5800,13.8
95781-86631,CeeDee Lamb,DAL,NYG,WR,8900,13.7
95781-31716,Dak Prescott,DAL,NYG,QB,8100,12.3
95781-86997,Amon-Ra St. Brown,DET,LAC,WR,8600,12.3
95781-89956,Travis Etienne Jr.,JAC,SF,RB,8400,12.0
95781-91750,Trey McBride,ARI,ATL,TE,5100,11.7
95781-71706,T.J. Hockenson,MIN,NO,TE,6600,11.4
95781-66008,Diontae Johnson,PIT,GB,WR,7000,11.4
95781-26483,Geno Smith,SEA,WAS,QB,6900,11.1
95781-12530,Dallas Cowboys,DAL,NYG,D,5200,11.1
95781-80001,Austin Ekeler,LAC,DET,RB,9000,10.5
95781-87770,Chris Olave,NO,MIN,WR,7400,10.2
95781-85798,Brandon Aiyuk,SF,JAC,WR,7800,10.1
95781-129210,Jordan Addison,MIN,NO,WR,6900,10.0
95781-40442,Aaron Jones,GB,PIT,RB,6800,10.0
95781-39280,Derrick Henry,TEN,TB,RB,8000,9.6
95781-12546,Arizona Cardinals,ARI,ATL,D,3700,9.5
95781-72776,Alexander Mattison,MIN,NO,RB,6200,9.3
95781-73048,DK Metcalf,SEA,WAS,WR,7300,9.3
95781-112057,Jaylen Warren,PIT,GB,RB,5600,9.2
95781-12529,Cleveland Browns,CLE,BAL,D,4100,9.0
95781-12533,Green Bay Packers,GB,PIT,D,4000,9.0
95781-12543,New York Giants,NYG,DAL,D,3000,8.8
95781-90562,Brian Robinson Jr.,WAS,SEA,RB,6900,8.8
95781-90533,Jerome Ford,CLE,BAL,RB,6400,8.6
95781-105646,Sam LaPorta,DET,LAC,TE,6500,8.5
95781-29253,Keenan Allen,LAC,DET,WR,9000,8.4
95781-12551,Tampa Bay Buccaneers,TB,TEN,D,4000,8.2
95781-56018,Deebo Samuel,SF,JAC,WR,7000,8.2
95781-93408,Rondale Moore,ARI,ATL,WR,4700,8.1
95781-90575,Najee Harris,PIT,GB,RB,6500,8.1
95781-38435,Jared Goff,DET,LAC,QB,8000,8.0
95781-12555,Baltimore Ravens,BAL,CLE,D,4600,8.0
95781-129458,Jaxon Smith-Njigba,SEA,WAS,WR,5600,7.5
95781-12528,Cincinnati Bengals,CIN,HOU,D,4400,7.4
95781-40669,Tyler Boyd,CIN,HOU,WR,6200,7.1
95781-85607,Brock Purdy,SF,JAC,QB,7400,7.0
95781-60858,Christian Kirk,JAC,SF,WR,6700,6.9
95781-56250,Terry McLaurin,WAS,SEA,WR,6800,6.6
95781-64555,Calvin Ridley,JAC,SF,WR,6700,6.5
95781-112295,Zay Flowers,BAL,CLE,WR,6000,6.4
95781-12550,Seattle Seahawks,SEA,WAS,D,4500,6.3
95781-55635,Chris Godwin,TB,TEN,WR,6500,6.3
95781-86229,Jahan Dotson,WAS,SEA,WR,6200,6.3
95781-91419,Nico Collins,HOU,CIN,WR,6900,6.1
95781-129368,Jahmyr Gibbs,DET,LAC,RB,8200,6.1
95781-70603,Devin Singletary,HOU,CIN,RB,5700,6.0
95781-112745,Drake London,ATL,ARI,WR,6500,5.7
95781-12532,Detroit Lions,DET,LAC,D,3900,5.6
95781-31001,Amari Cooper,CLE,BAL,WR,7100,5.3
95781-73273,David Montgomery,DET,LAC,RB,7500,5.2
95781-64401,Saquon Barkley,NYG,DAL,RB,7400,5.1
95781-39793,George Kittle,SF,JAC,TE,6300,5.1
95781-69189,Justin Herbert,LAC,DET,QB,8500,5.1
95781-52436,Mark Andrews,BAL,CLE,TE,7300,5.0
95781-110246,George Pickens,PIT,GB,WR,6600,4.9
95781-42104,Alvin Kamara,NO,MIN,RB,8800,4.8
95781-104576,Sam Howell,WAS,SEA,QB,7200,4.7
95781-129471,C.J. Stroud,HOU,CIN,QB,7700,4.7
95781-89951,Trevor Lawrence,JAC,SF,QB,7100,4.7
95781-12549,San Francisco 49ers,SF,JAC,D,4100,4.6
95781-89612,Michael Wilson,ARI,ATL,WR,5200,4.3
95781-41872,Evan Engram,JAC,SF,TE,5600,4.1
95781-63484,Kyler Murray,ARI,ATL,QB,7500,4.1
95781-40167,Gus Edwards,BAL,CLE,RB,6700,4.1
95781-63115,Lamar Jackson,BAL,CLE,QB,8300,4.0
95781-28573,Michael Thomas,NO,MIN,WR,5800,4.0
95781-40407,Joshua Dobbs,MIN,NO,QB,7300,3.7
95781-56248,Noah Brown,HOU,CIN,WR,5400,3.7
95781-53331,Taylor Heinicke,ATL,ARI,QB,7000,3.5
95781-88575,Elijah Moore,CLE,BAL,WR,5400,3.4
95781-55042,Dalton Schultz,HOU,CIN,TE,6100,3.4
95781-120639,Quentin Johnston,LAC,DET,WR,5900,3.3
95781-29501,Brandin Cooks,DAL,NYG,WR,5300,3.1
95781-55335,David Njoku,CLE,BAL,TE,5400,3.1
95781-45859,Derek Carr,NO,MIN,QB,6700,3.1
95781-12554,Jacksonville Jaguars,JAC,SF,D,3900,3.0
95781-32384,Mike Evans,TB,TEN,WR,7600,3.0
95781-64905,Trenton Irwin,CIN,HOU,WR,4800,2.9
95781-86080,Kyle Pitts,ATL,ARI,TE,5300,2.7
95781-64808,Juwan Johnson,NO,MIN,TE,4900,2.7
95781-52613,Curtis Samuel,WAS,SEA,WR,6000,2.7
95781-41535,Baker Mayfield,TB,TEN,QB,6600,2.7
95781-94370,Romeo Doubs,GB,PIT,WR,6300,2.6
95781-69017,Jordan Love,GB,PIT,QB,6900,2.6
95781-88297,Chig Okonkwo,TEN,TB,TE,4800,2.6
95781-103539,Wan'Dale Robinson,NYG,DAL,WR,5700,2.5
95781-113228,Luke Musgrave,GB,PIT,TE,5100,2.4
95781-26355,Logan Thomas,WAS,SEA,TE,5300,2.4
95781-103376,Zach Charbonnet,SEA,WAS,RB,4900,2.3
95781-48116,Jonnu Smith,ATL,ARI,TE,5500,2.3
95781-45565,Taysom Hill,NO,MIN,TE,7000,2.2
95781-86243,Will Levis,TEN,TB,QB,6800,2.2
95781-92882,Connor Heyward,PIT,GB,TE,4500,2.2
95781-86811,Cade Otton,TB,TEN,TE,5200,2.2
95781-57299,Gerald Everett,LAC,DET,TE,5000,2.2
95781-69956,Michael Gallup,DAL,NYG,WR,5200,2.0
95781-12534,Tennessee Titans,TEN,TB,D,3800,2.0
95781-169776,Christian Watson,GB,PIT,WR,5700,1.8
95781-90428,Tyler Allgeier,ATL,ARI,RB,5900,1.8
95781-104278,Donald Parham,LAC,DET,TE,5200,1.7
95781-90933,Antonio Gibson,WAS,SEA,RB,5100,1.7
95781-71705,Noah Fant,SEA,WAS,TE,4600,1.7
95781-107293,Tyjae Spears,TEN,TB,RB,4900,1.7
95781-93107,AJ Dillon,GB,PIT,RB,5600,1.7
95781-83117,Tanner Hudson,CIN,HOU,TE,4300,1.6
95781-90307,Daniel Bellinger,NYG,DAL,TE,4700,1.6
95781-72297,Rico Dowdle,DAL,NYG,RB,4500,1.6
95781-12540,Minnesota Vikings,MIN,NO,D,3800,1.6
95781-170287,Rashid Shaheed,NO,MIN,WR,5900,1.6
95781-12547,Pittsburgh Steelers,PIT,GB,D,4300,1.6
95781-12542,New Orleans Saints,NO,MIN,D,4200,1.6
95781-31360,Odell Beckham Jr.,BAL,CLE,WR,5500,1.6
95781-89588,Colby Parkinson,SEA,WAS,TE,4500,1.6
95781-41305,Zay Jones,JAC,SF,WR,5500,1.5
95781-72725,Irv Smith Jr.,CIN,HOU,TE,4900,1.5
95781-89455,Jayden Reed,GB,PIT,WR,5400,1.5
95781-54879,Deshaun Watson,CLE,BAL,QB,7100,1.4
95781-71521,Justice Hill,BAL,CLE,RB,5300,1.3
95781-102902,Trey Palmer,TB,TEN,WR,5100,1.3
95781-52345,Brandon Powell,MIN,NO,WR,5200,1.3
95781-53097,Josh Reynolds,DET,LAC,WR,6100,1.3
95781-45229,Kareem Hunt,CLE,BAL,RB,6400,1.2
95781-58041,Mike Boone,HOU,CIN,RB,4400,1.0
95781-12552,Washington Commanders,WAS,SEA,D,3600,1.0
95781-12525,Atlanta Falcons,ATL,ARI,D,4800,1.0
95781-45631,Jamaal Williams,NO,MIN,RB,5100,0.9
95781-61593,Jauan Jennings,SF,JAC,WR,5400,0.9
95781-70422,Kalif Raymond,DET,LAC,WR,4800,0.9
95781-92413,Elijah Mitchell,SF,JAC,RB,5200,0.9
95781-83081,Chase Edmonds,TB,TEN,RB,4500,0.8
95781-91872,Joshua Kelley,LAC,DET,RB,5800,0.8
95781-87371,Ty Chandler,MIN,NO,RB,4600,0.8
95781-64843,Jalen Guyton,LAC,DET,WR,5000,0.7
95781-72493,Trishton Jackson,MIN,NO,WR,4300,0.7
95781-85845,Rashod Bateman,BAL,CLE,WR,5200,0.7
95781-64389,Nick Westbrook-Ikhine,TEN,TB,WR,5400,0.7
95781-111631,Jameson Williams,DET,LAC,WR,5400,0.7
95781-139094,Jalin Hyatt,NYG,DAL,WR,4900,0.7
95781-134023,Keaton Mitchell,BAL,CLE,RB,5100,0.6
95781-91902,Kyle Philips,TEN,TB,WR,5000,0.6
95781-185593,Andrei Iosivas,CIN,HOU,WR,4900,0.6
95781-92020,Kenny Pickett,PIT,GB,QB,6400,0.6
95781-63819,Darius Slayton,NYG,DAL,WR,5500,0.6
95781-88548,Jalen Tolbert,DAL,NYG,WR,4800,0.6
95781-12556,Houston Texans,HOU,CIN,D,3200,0.6
95781-29685,Robert Woods,HOU,CIN,WR,5300,0.5
95781-64581,Van Jefferson,ATL,ARI,WR,5000,0.4
95781-12548,Los Angeles Chargers,LAC,DET,D,3500,0.3
95781-94748,Tommy DeVito,NYG,DAL,QB,6300,0.3
95781-85306,KhaDarel Hodge,ATL,ARI,WR,5400,0.3
95781-110457,Dontayvion Wicks,GB,PIT,WR,5100,0.3
95781-28643,Allen Robinson II,PIT,GB,WR,4700,0.3
95781-24755,Jamison Crowder,WAS,SEA,WR,5300,0.3
95781-102986,Elijah Higgins,ARI,ATL,WR,4100,0.2
95781-94579,Emari Demercado,ARI,ATL,RB,5700,0.0
95781-25267,Mack Hollins,ATL,ARI,WR,5500,0.0
