"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trent Sherfield","BUF","WR","0","6.4","-6.4","0","6.4","-6.4","1","0","1.81","0","24.8","0","0.5088","0","0","0","0"
"Hunter Renfrow","LV","WR","5.8","4.6","1.2000000000000002","5.8","4.6","1.2","1","4","3.1","38","28.61","0","0.0288","0","0","0","0"
"Rhamondre Stevenson","NE","RB","19.2","16.3","2.8999999999999986","19.2","16.3","2.9","1","5","4.61","9","31.5","0","0.0096","98","90.9832","1","0.28"
"Christian McCaffrey","SF","RB","28.4","23.6","4.799999999999997","28.4","23.6","4.8","1","5","4.68","25","37.72","0","0.2496","114","73.863","2","1.44"
"Ty Johnson","BUF","RB","1.9","3.5","-1.6","1.9","3.5","-1.6","1","0","0","0","0","0","0","19","22.9614","0","0.2"
"T.J. Hockenson","MIN","TE","13.5","9.9","3.5999999999999996","13.5","9.9","3.6","1","5","4.18","50","48.41","1","0.4896","0","0","0","0"
"Alec Pierce","IND","WR","4.7","10.1","-5.3999999999999995","4.7","10.1","-5.4","1","4","4.27","27","56.87","0","0.384","0","0","0","0"
"Devin Singletary","HST","RB","10.2","16.9","-6.699999999999999","10.2","16.9","-6.7","1","6","6.17","54","46.38","0","0.1344","18","18.8654","0","1.08"
"Byron Pringle","WAS","WR","3.7","3.1","0.6000000000000001","3.7","3.1","0.6","1","2","1.41","27","23.71","0","0","0","0","0","0"
"Josh Jacobs","LV","RB","20.5","16.4","4.100000000000001","20.5","16.4","4.1","1","4","5.46","15","34.79","0","0.0864","110","87.71","1","0.15"
"Trey McBride","ARZ","TE","9.5","13.5","-4","9.5","13.5","-4","1","7","6.52","60","54.42","0","0.8064","0","0","0","0"
"Nico Collins","HST","WR","19.9","12.8","7.099999999999998","19.9","12.8","7.1","1","7","6.24","104","80.02","1","0.2784","0","0","0","0"
"Zamir White","LV","RB","0","0.5","-0.5","0","0.5","-0.5","1","0","0","0","0","0","0","0","4.851","0","0"
"Elijah Higgins","ARZ","TE","3.1","2.5","0.6000000000000001","3.1","2.5","0.6","1","1","1.38","26","18.23","0","0","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","6.5","7.1","-0.5999999999999996","6.5","7.1","-0.6","1","4","3.54","45","35.36","0","0.3072","0","0","0","0"
"Ameer Abdullah","LV","RB","1.8","1.5","0.30000000000000004","1.8","1.5","0.3","1","1","0.94","2","5.52","0","0","11","4.704","0","0"
"Samaje Perine","DEN","RB","13.1","8.6","4.5","13.1","8.6","4.5","1","1","0.83","11","6.32","0","0","55","26.0974","1","0.83"
"Austin Hooper","LV","TE","1.9","1.7","0.19999999999999996","1.9","1.7","0.2","1","1","1.34","14","10.1","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","5.2","6","-0.7999999999999998","5.2","6","-0.8","1","3","3.31","16","16.69","0","0.0096","21","26.0484","0","0.01"
"David Montgomery","DET","RB","13.1","9.2","3.9000000000000004","13.1","9.2","3.9","1","0","0","0","0","0","0","71","59.2312","1","0.55"
"Connor Heyward","PIT","TE","2.1","2","0.10000000000000009","2.1","2","0.1","1","2","1.74","11","11.46","0","0","0","0","0","0"
"Zach Charbonnet","SEA","RB","7.8","11","-3.2","7.8","11","-3.2","1","4","3.62","11","21.15","0","0","47","55.2328","0","0.26"
"Durham Smythe","MIA","TE","1.5","2.9","-1.4","1.5","2.9","-1.4","1","1","2","10","18.13","0","0.0192","0","0","0","0"
"Gabe Davis","BUF","WR","19.5","21.4","-1.8999999999999986","19.5","21.4","-1.9","1","6","5.67","105","91.06","1","1.584","0","0","0","0"
"Ian Thomas","CAR","TE","1.4","1.4","0","1.4","1.4","0","1","1","0.86","9","9.6","0","0","0","0","0","0"
"Tre Tucker","LV","WR","0","1.2","-1.2","0","1.2","-1.2","1","0","0.62","0","8.78","0","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","9.3","13.3","-4","9.3","13.3","-4","1","4","5.69","19","49.72","0","0","54","47.4026","0","0.13"
"Clyde Edwards-Helaire","KC","RB","0.5","5.3","-4.8","0.5","5.3","-4.8","1","0","0","0","0","0","0","5","8.1736","0","0.75"
"Deebo Samuel","SF","WR","18.9","17.7","1.1999999999999993","18.9","17.7","1.2","1","7","6.55","79","73.28","0","0.48","15","15.3272","1","0.45"
"Brevin Jordan","HST","TE","1.4","1.1","0.2999999999999998","1.4","1.1","0.3","1","1","0.78","9","7.44","0","0","0","0","0","0"
"Jaylen Warren","PIT","RB","7.8","10.2","-2.3999999999999995","7.8","10.2","-2.4","1","3","2.74","13","16.49","0","0.0096","50","55.8894","0","0.26"
"Adam Trautman","DEN","TE","7.3","3.2","4.1","7.3","3.2","4.1","1","1","0.45","8","3.6","1","0.432","0","0","0","0"
"Logan Thomas","WAS","TE","2.5","3.6","-1.1","2.5","3.6","-1.1","1","2","2.6","15","23.03","0","0","0","0","0","0"
"Noah Gray","KC","TE","4.5","4.1","0.40000000000000036","4.5","4.1","0.4","1","3","2.51","30","28.7","0","0","0","0","0","0"
"Chris Olave","NO","WR","14.9","12","2.9000000000000004","14.9","12","2.9","1","7","5.68","114","86.75","0","0.0864","0","0","0","0"
"Scott Miller","ATL","WR","0.9","1.6","-0.7000000000000001","0.9","1.6","-0.7","1","1","0.91","4","3.51","0","0.1248","0","0","0","0"
"Puka Nacua","LA","WR","4.7","15.1","-10.399999999999999","4.7","15.1","-10.4","1","4","5.87","27","71.13","0","0.8352","0","0","0","0"
"Kenneth Gainwell","PHI","RB","4.6","4.2","0.39999999999999947","4.6","4.2","0.4","1","2","2.48","10","20.25","0","0","26","8.575","0","0.02"
