"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","0","1","0","0","0","28","0","19","0","16","0","0","0","1","0","0","0","0","249","185","0","0","0","0","0","0","1","0","0","0","5","5"
"ATL","1","0","0","1","0","0","0","27","0","11","0","20","0","0","0","1","0","0","0","0","243","115","0","0","0","0","0","1","0","0","0","0","3","3"
"BLT","1","4","0","0","0","1","0","20","0","45","0","22","0","0","0","0","1","0","0","0","227","139","0","0","0","0","0","1","0","0","0","0","6","6"
"BUF","1","9","1","4","1","0","0","0","0","27","0","3","0","1","0","0","0","0","0","0","170","105","0","0","0","1","0","0","0","0","0","0","32","32"
"CAR","1","2","0","1","0","0","0","37","0","-3","0","37","0","0","0","0","0","0","1","0","296","146","0","0","0","0","0","0","1","0","0","0","0","0"
"CHI","1","0","0","2","0","0","0","0","0","0","0","41","0","0","0","0","0","0","1","0","303","153","0","0","0","0","0","0","0","1","0","0","0","0"
"CLV","1","5","0","0","0","0","0","26","0","11","0","3","0","1","0","0","0","0","0","0","104","26","0","0","1","0","0","0","0","0","0","0","12","12"
"DAL","1","2","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","1","0","0","189","222","0","0","0","0","0","0","1","0","0","0","1","1"
"DEN","1","0","0","0","0","0","0","121","1","0","0","70","0","0","0","0","0","0","0","1","376","351","0","0","0","0","0","0","0","0","0","1","2","2"
"DET","1","7","1","0","0","0","0","0","0","13","0","6","0","1","0","0","0","0","0","0","201","44","0","0","0","1","0","0","0","0","0","0","16","16"
"GB","1","4","0","0","0","0","0","24","0","4","0","17","0","0","0","1","0","0","0","0","204","77","0","0","0","1","0","0","0","0","0","0","5","5"
"HST","1","0","1","1","0","0","1","99","1","0","0","17","0","0","0","1","0","0","0","0","290","116","0","0","0","0","0","0","1","0","0","0","12","12"
"IND","1","4","2","0","0","0","0","0","0","48","0","19","0","0","0","1","0","0","0","0","202","175","0","0","0","0","0","1","0","0","0","0","9","9"
"JAX","1","0","0","0","0","0","0","72","0","0","0","37","0","0","0","0","0","0","1","0","280","86","0","0","0","0","0","1","0","0","0","0","-4","-4"
"KC","1","3","1","1","0","0","0","0","0","33","0","10","0","0","1","0","0","0","0","0","100","116","0","0","0","1","0","0","0","0","0","0","11","11"
"MIA","1","1","2","1","0","0","0","0","0","30","0","20","0","0","0","1","0","0","0","0","306","68","0","0","0","0","0","1","0","0","0","0","8","8"
"MIN","1","1","1","0","0","0","0","0","0","0","0","28","0","0","0","0","0","1","0","0","454","30","0","0","0","0","0","0","0","1","0","0","2","2"
"NE","1","3","0","0","0","1","0","11","0","39","0","10","0","0","1","0","0","0","0","0","157","37","0","0","1","0","0","0","0","0","0","0","9","9"
"NO","1","1","0","1","0","0","0","32","0","76","1","18","0","0","0","1","0","0","0","0","259","95","0","0","0","0","0","1","0","0","0","0","10","10"
"NYG","1","2","0","0","0","0","0","16","0","3","0","30","0","0","0","0","0","1","0","0","310","141","0","0","0","0","0","0","0","1","0","0","1","1"
"NYJ","1","0","0","0","0","0","0","55","0","39","0","15","0","0","0","1","0","0","0","0","201","157","0","0","0","0","0","1","0","0","0","0","1","1"
"LV","1","1","0","0","0","0","0","0","0","44","0","23","0","0","0","0","1","0","0","0","235","105","0","0","0","0","1","0","0","0","0","0","1","1"
"PIT","1","4","0","3","0","0","0","0","0","5","0","18","0","0","0","1","0","0","0","0","324","69","0","0","0","0","0","1","0","0","0","0","11","11"
"LAC","1","4","1","1","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","367","130","0","0","0","0","0","0","0","1","0","0","8","8"
"SF","1","2","0","1","0","0","0","0","0","22","0","12","0","0","1","0","0","0","0","0","137","29","0","0","1","0","0","0","0","0","0","0","8","8"
"SEA","1","3","0","0","0","0","0","55","0","41","0","27","0","0","0","0","1","0","0","0","361","44","0","0","0","0","0","0","1","0","0","0","3","3"
"TEN","1","3","1","0","0","0","0","21","0","13","0","27","0","0","0","0","1","0","0","0","289","78","0","0","0","0","0","1","0","0","0","0","5","5"
"WAS","1","0","0","1","0","0","0","45","0","0","0","37","0","0","0","0","0","0","1","0","218","168","0","0","0","0","0","1","0","0","0","0","-2","-2"
