"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","15.6","25.5","-9.9","15.6","25.5","-9.9","1","41","24","27.48","1","1.07","230","294.84","1","2.89","34","30.1227","0","0.038","0","0","0","0"
"Lamar Jackson","BLT","12","11.9","0.09999999999999964","12","11.9","0.1","1","27","18","17.34","0","0.54","157","171.81","1","0.82","1","7.5981","0","0","16","11.446","0","0.07"
"Tommy DeVito","NYG","7.2","4.3","2.9000000000000004","7.2","4.3","2.9","1","7","2","4","0","0.09","-1","18.57","0","0","8","15.0567","0","0","4","6.3896","1","0.25"
"Baker Mayfield","TB","19.4","16.9","2.5","19.4","16.9","2.5","1","42","25","25.73","0","0.91","237","256.74","2","1.37","19","20.739","0","0","0","0","0","0"
"Brock Purdy","SF","22.3","21.1","1.1999999999999993","22.3","21.1","1.2","1","31","22","21.19","2","0.99","365","267.64","1","1.72","57","42.0825","0","0.0475","0","0","0","0"
"Zach Wilson","NYJ","16.1","12.5","3.6000000000000014","16.1","12.5","3.6","1","36","17","22.67","0","0.88","240","263.34","1","0.02","25","22.3293","0","0.0095","0","4.8902","0","0"
"Taylor Heinicke","ATL","12.4","9.9","2.5","12.4","9.9","2.5","1","21","12","10.99","0","0.55","175","155.64","1","0.7","14","13.8849","0","0","0","0","0","0"
"Brett Rypien","LA","1.7","3","-1.3","1.7","3","-1.3","1","10","5","6.76","0","0.18","42","75.43","0","0.04","0","0","0","0","0","0","0","0"
"Will Levis","TEN","26.5","13.2","13.3","26.5","13.2","13.3","1","28","18","16.37","0","0.66","234","208.38","4","0.94","5","7.5888","0","0","6","9.5734","0","0.01"
"Tua Tagovailoa","MIA","23.5","23.5","0","23.5","23.5","0","1","44","29","30.75","1","1.04","304","327.38","3","2.49","11","13.299","0","0","-8","1.655","0","0"
"Dorian Thompson-Robinson","CLV","0.4","0.3","0.10000000000000003","0.4","0.3","0.1","1","1","1","0.9","0","0.01","9","7.45","0","0","0","0","0","0","0","0","0","0"
"Malik Willis","TEN","0.4","1.1","-0.7000000000000001","0.4","1.1","-0.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8.8494","0","0.03"
"Geno Smith","SEA","15.9","21.4","-5.499999999999998","15.9","21.4","-5.5","1","37","23","25.19","2","0.77","254","266.93","2","2.64","0","0","0","0","-3","2.4202","0","0.12"
"Trevor Lawrence","JAX","16","15","1","16","15","1","1","32","24","23.33","1","0.68","300","256.96","1","1.16","10","7.8864","0","0","0","0","0","0"
"Gardner Minshew","IND","15.8","16.3","-0.5","15.8","16.3","-0.5","1","41","23","24.08","1","0.94","213","250.55","2","1.64","3","6.1566","0","0.0095","0","0","0","0"
"Jimmy Garoppolo","LV","5.2","10","-4.8","5.2","10","-4.8","1","21","10","13.35","1","0.68","126","177.15","0","0.29","9","7.5888","0","0","3","1.7738","0","0.25"
"Kenny Pickett","PIT","3.9","9.2","-5.299999999999999","3.9","9.2","-5.3","1","16","10","9.94","0","0.43","73","120.38","0","1","10","7.5144","0","0.0095","0","0","0","0"
"Tyrod Taylor","NYG","3.6","5.8","-2.1999999999999997","3.6","5.8","-2.2","1","7","4","4.22","0","0.11","8","31.47","0","0.33","16","28.8207","0","0","17","4.8902","0","0"
"Joshua Dobbs","ARZ","22.9","29.3","-6.400000000000002","22.9","29.3","-6.4","1","37","25","24.81","2","0.81","208","259.27","2","1.84","18","16.2755","0","0.7125","8","5.851","1","0.99"
"Matthew Stafford","LA","10.4","10.3","0.09999999999999964","10.4","10.3","0.1","1","22","13","14.65","1","0.51","162","148.76","1","1.02","9","7.3005","0","0","0","0","0","0"
"Tyson Bagent","CHI","13.2","20.6","-7.400000000000002","13.2","20.6","-7.4","1","37","25","25.28","2","0.85","232","254.58","0","1.2","0","0","0","0","-1","4.8314","1","0.99"
"Kirk Cousins","MIN","19.9","19.1","0.7999999999999972","19.9","19.1","0.8","1","31","23","20.64","0","0.75","274","220.83","2","2.4","7","7.5888","0","0","2","2.2344","0","0.07"
"Mac Jones","NE","13.2","12.7","0.5","13.2","12.7","0.5","1","29","19","20.19","1","0.6","161","187.38","2","1.48","0","0","0","0","-2","-1","0","0"
