"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jordan Mason","SF","rb","9","KC","19.8","0","0","0","0","0","0","16.1898","74.6962","0.5553","5.6218","4.4972","35.051","0.1795","0.2674","0.1231","0.0372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Kyren Williams","LA","rb","6","LV","17.8","0","0","0","0","0","0","17.2454","80.3154","0.7529","3.1596","2.5847","18.6562","0.1507","0.2611","0.118","0.0301","15.8697","0.0137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Travis Kelce","KC","te","6","@SF","17.5","0","0","0","0","0","0","0","0","0","9.167","7.0618","71.5229","0.5385","0","0","0.023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Saquon Barkley","PHI","rb","5","@NYG","17.6","0","0","0","0","0","0","18.1674","78.0898","0.6461","3.8675","3.103","21.7285","0.1193","0.2792","0.1266","0.0353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Amon-Ra St. Brown","DET","wr","5","@MIN","18.8","0","0","0","0","0","0","0.1256","0.7764","0.0065","10.2208","7.6307","78.7283","0.5287","0.084","0.0461","0.0284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Malik Nabers","NYG","wr","11","PHI","18.8","0","0","0","0","0","0","0","0","0","11.114","7.3238","83.9982","0.4995","0","0","0.0236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bijan Robinson","ATL","rb","12","SEA","17.1","0","0","0","0","0","0","13.9842","65.6187","0.4158","4.8938","4.1222","28.6291","0.1827","0.2336","0.1077","0.0306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Ja'Marr Chase","CIN","wr","12","@CLV","18.4","0","0","0","0","0","0","0.1649","0.9305","0.0067","9.6291","6.9857","79.8496","0.5432","0.0775","0.0425","0.0251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","A.J. Brown","PHI","wr","5","@NYG","17.5","0","0","0","0","0","0","0","0","0","9.7529","6.3792","81.7186","0.4799","0","0","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Stefon Diggs","HST","wr","14","@GB","17.4","0","0","0","0","0","0","0.2454","1.4132","0.011","9.7116","6.7141","77.2587","0.4533","0.0757","0.0414","0.0227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Derrick Henry","BLT","rb","14","@TB","16","0","0","0","0","0","0","17.1054","84.5053","0.7457","1.9737","1.6608","11.4269","0.0629","0.2492","0.1117","0.0276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Diontae Johnson","CAR","wr","11","@WAS","17.2","0","0","0","0","0","0","0","0","0","10.1515","6.4052","74.7385","0.5434","0","0","0.0229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Drake London","ATL","wr","12","SEA","17.1","0","0","0","0","0","0","0","0","0","9.5059","6.4723","73.4865","0.5337","0","0","0.0246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Breece Hall","NYJ","rb","12","@PIT","15.8","0","0","0","0","0","0","14.1541","58.022","0.3661","5.0111","3.993","29.6462","0.1502","0.2345","0.108","0.0291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Justin Jefferson","MIN","wr","6","DET","17","0","0","0","0","0","0","0","0","0","10.0033","6.4268","79.9197","0.4283","0","0","0.0226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
