"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Adrian Peterson",FA,"RB1","1","4","1.4","0.8","0"
"2",1,"Doug Martin",FA,"RB2","1","9","2.9","1.9","0"
"3",2,"Jamaal Charles",FA,"RB3","2","9","4.8","1.9","0"
"4",2,"Calvin Johnson",FA,"WR1","4","8","5.3","1.3","+2"
"5",2,"C.J. Spiller",FA,"RB4","2","9","5.5","2.7","0"
"6",2,"LeSean McCoy",FA,"RB5","1","10","6.0","2.4","+2"
"7",2,"Ray Rice",FA,"RB6","4","8","6.2","1.3","0"
"8",2,"Trent Richardson",FA,"RB7","3","29","10.2","6.9","+2"
"9",2,"Arian Foster",FA,"RB8","3","25","10.3","6.2","-5"
"10",3,"Brandon Marshall",FA,"WR2","10","20","12.1","2.5","+7"
"11",3,"A.J. Green",FA,"WR3","9","17","12.3","2.1","+3"
"12",3,"Dez Bryant",FA,"WR4","10","17","12.8","2.1","+1"
"13",3,"Matt Forte",FA,"RB9","7","30","14.7","6.4","-2"
"14",3,"Marshawn Lynch",FA,"RB10","8","46","17.9","9.1","-5"
"15",3,"Demaryius Thomas",FA,"WR5","13","24","18.1","3.5","+8"
"16",4,"Julio Jones",PHI,"WR6","14","24","18.5","2.7","+3"
"17",4,"Drew Brees",FA,"QB1","16","28","21.4","3.5","+5"
"18",4,"Andre Johnson",FA,"WR7","14","29","21.8","4.6","+12"
"19",4,"Larry Fitzgerald",FA,"WR8","14","33","22.1","5.8","+7"
"20",4,"Aaron Rodgers",NYJ,"QB2","15","33","22.5","3.8","+1"
"21",4,"Jimmy Graham",NO,"TE1","10","40","22.9","10.6","-6"
"22",4,"Darren Sproles",FA,"RB11","13","80","24.2","13.8","+7"
"23",4,"Roddy White",FA,"WR9","17","31","24.6","4.5","+9"
"24",4,"Alfred Morris",FA,"RB12","11","42","24.7","9.8","-12"
"25",4,"Randall Cobb",NYJ,"WR10","13","40","24.9","7.4","+6"
"26",4,"Steven Jackson",FA,"RB13","15","65","24.9","10.3","-10"
"27",4,"Victor Cruz",FA,"WR11","18","34","26.4","4.5","+7"
"28",5,"Reggie Bush",FA,"RB14","11","50","27.1","9.6","-8"
"29",5,"Chris Johnson",FA,"RB15","14","77","29.4","12.0","-11"
"30",5,"Vincent Jackson",FA,"WR12","24","39","31.1","3.6","+6"
"31",5,"Danny Amendola",FA,"WR13","20","51","34.9","7.8","+10"
"32",5,"Reggie Wayne",FA,"WR14","21","52","34.9","7.8","+12"
"33",5,"Maurice Jones-Drew",FA,"RB16","26","71","35.3","12.4","-8"
"34",5,"Peyton Manning",FA,"QB3","25","44","35.6","5.1","+1"
"35",5,"Marques Colston",FA,"WR15","25","55","37.9","6.8","+11"
"36",6,"Dwayne Bowe",FA,"WR16","26","48","39.1","6.1","+6"
"37",6,"David Wilson",FA,"RB17","18","66","40.0","12.2","-10"
"38",6,"Wes Welker",FA,"WR17","23","53","40.3","8.3","+2"
"39",6,"Cam Newton",FA,"QB4","31","64","42.0","8.0","+9"
"40",6,"Antonio Brown",FA,"WR18","30","58","42.9","8.3","+18"
"41",6,"DeMarco Murray",FA,"RB18","31","82","44.2","11.3","-13"
"42",6,"Pierre Garcon",FA,"WR19","35","60","44.4","7.6","+9"
"43",6,"Jason Witten",FA,"TE2","14","84","44.8","16.5","+4"
"44",6,"Stevan Ridley",FA,"RB19","23","75","45.5","14.0","-20"
"45",6,"Tom Brady",FA,"QB5","26","61","47.5","9.1","0"
"46",6,"Matt Ryan",FA,"QB6","35","59","47.9","7.2","+3"
"47",6,"Darren McFadden",FA,"RB20","32","67","49.1","10.4","-9"
"48",6,"Tony Gonzalez",FA,"TE3","17","72","50.1","11.2","+8"
"49",6,"Hakeem Nicks",FA,"WR20","36","72","52.4","9.6","+4"
"50",7,"Eric Decker",FA,"WR21","38","71","52.9","9.4","+7"
"51",7,"Rob Gronkowski",FA,"TE4","10","101","53.9","21.5","-14"
"52",7,"Frank Gore",FA,"RB21","31","80","53.9","12.8","-19"
"53",7,"Lamar Miller",FA,"RB22","30","98","54.5","17.4","-14"
"54",7,"Steve Smith",FA,"WR22","37","71","55.0","7.3","+14"
"55",7,"Matthew Stafford",LAR,"QB7","38","67","56.0","7.8","+10"
"56",7,"Torrey Smith",FA,"WR23","40","77","60.4","11.4","+5"
"57",7,"Mike Wallace",FA,"WR24","43","88","60.4","12.5","+7"
"58",7,"Colin Kaepernick",FA,"QB8","51","78","61.7","7.2","+2"
"59",7,"Steve Johnson",FA,"WR25","50","84","61.8","8.8","+22"
"60",7,"Robert Griffin III",FA,"QB9","49","93","63.3","9.3","+10"
"61",7,"Andrew Luck",FA,"QB10","42","86","63.4","10.3","+8"
"62",7,"Vernon Davis",FA,"TE5","39","89","64.7","13.5","-10"
"63",7,"Jordy Nelson",FA,"WR26","37","102","65.8","17.3","-8"
"64",7,"Cecil Shorts",FA,"WR27","51","85","66.0","10.2","+16"
"65",7,"Eddie Lacy",FA,"RB23","38","107","66.1","17.1","-22"
"66",7,"Tony Romo",FA,"QB11","54","78","66.5","5.5","+8"
"67",7,"DeSean Jackson",FA,"WR28","40","85","67.0","14.6","0"
"68",7,"Ryan Mathews",FA,"RB24","37","95","67.0","16.4","-18"
"69",7,"Greg Jennings",FA,"WR29","51","95","67.2","12.7","+17"
"70",7,"Daryl Richardson",FA,"RB25","34","97","67.5","13.9","-8"
"71",7,"Russell Wilson",DEN,"QB12","57","87","67.9","6.7","+5"
"72",7,"Shane Vereen",FA,"RB26","41","101","68.5","20.5","-6"
"73",7,"James Jones",FA,"WR30","45","97","68.6","13.3","-2"
"74",8,"Giovani Bernard",FA,"RB27","47","95","73.3","13.9","-20"
"75",8,"T.Y. Hilton",FA,"WR31","41","103","74.7","14.9","0"
"76",8,"Mike Williams",FA,"WR32","55","95","78.5","10.0","+15"
"77",8,"Miles Austin",FA,"WR33","56","110","79.4","12.7","+7"
"78",8,"Anquan Boldin",FA,"WR34","59","103","80.6","13.6","+9"
"79",8,"Ahmad Bradshaw",FA,"RB28","55","139","84.0","18.9","-16"
"80",8,"Greg Olsen",FA,"TE6","65","105","84.2","10.9","+5"
"81",8,"Montee Ball",FA,"RB29","60","111","85.7","13.3","-22"
"82",8,"Josh Gordon",FA,"WR35","56","112","88.1","13.3","+10"
"83",8,"Chris Ivory",FA,"RB30","55","121","89.3","18.4","-11"
"84",8,"Tavon Austin",FA,"WR36","54","130","90.0","18.7","-6"
"85",8,"Eli Manning",FA,"QB13","62","119","90.0","15.4","+10"
"86",8,"Rashard Mendenhall",FA,"RB31","72","126","90.2","14.2","-13"
"87",8,"Lance Moore",FA,"WR37","54","131","90.7","15.2","+10"
"88",9,"Kyle Rudolph",FA,"TE7","62","131","91.9","17.4","0"
"89",9,"Jermichael Finley",FA,"TE8","66","114","92.3","10.9","-10"
"90",9,"Kenny Britt",FA,"WR38","71","120","93.6","13.1","+6"
"91",9,"Chris Givens",FA,"WR39","67","125","94.8","17.1","+12"
"92",9,"Emmanuel Sanders",FA,"WR40","71","131","96.9","18.0","+28"
"93",9,"Michael Floyd",FA,"WR41","76","132","97.3","15.1","+25"
"94",9,"Jared Cook",FA,"TE9","76","140","97.7","15.3","0"
"95",9,"DeAngelo Williams",FA,"RB32","73","141","95.6","19.6","-18"
"96",9,"Owen Daniels",FA,"TE10","78","183","101.0","22.6","+5"
"97",9,"Kendall Wright",FA,"WR42","61","130","103.3","19.3","+89"
"98",9,"Mark Ingram II",FA,"RB33","79","130","103.3","14.0","-16"
"99",9,"Justin Blackmon",FA,"WR43","63","154","103.9","24.6","+20"
"100",9,"BenJarvus Green-Ellis",FA,"RB34","79","132","104.3","12.8","-17"
"101",9,"Jordan Cameron",FA,"TE11","70","131","99.2","17.2","+9"
"102",9,"Antonio Gates",FA,"TE12","87","185","107.3","19.6","-12"
"103",9,"Vincent Brown",FA,"WR44","82","134","108.6","14.1","+12"
"104",9,"Le'Veon Bell",FA,"RB35","64","164","109.7","28.6","+37"
"105",9,"Golden Tate",FA,"WR45","72","169","109.9","27.0","-5"
"106",9,"Andy Dalton",CAR,"QB14","72","132","110.2","15.9","-1"
"107",9,"Ben Tate",FA,"RB36","82","122","105.6","12.7","-18"
"108",9,"Danny Woodhead",FA,"RB37","84","162","110.8","17.8","+4"
"109",9,"Brandon Myers",FA,"TE13","66","192","113.7","33.2","+8"
"110",9,"Pierre Thomas",FA,"RB38","100","157","114.0","15.1","+11"
"111",9,"Kenbrell Thompkins",FA,"WR46","57","149","110.9","27.8","-3"
"112",9,"Alshon Jeffery",FA,"WR47","75","149","115.8","18.1","+19"
"113",9,"DeAndre Hopkins",TEN,"WR48","83","147","116.3","15.6","+1"
"114",10,"Denarius Moore",FA,"WR49","77","146","118.5","19.5","+19"
"115",10,"Vick Ballard",FA,"RB39","94","153","118.8","19.5","-6"
"116",10,"Jacquizz Rodgers",FA,"RB40","95","179","119.0","19.6","+11"
"117",10,"Brian Hartline",FA,"WR50","84","156","119.1","19.1","+22"
"118",10,"Martellus Bennett",FA,"TE14","97","157","121.0","18.6","+6"
"119",10,"Ben Roethlisberger",FA,"QB15","77","145","121.0","13.9","+3"
"120",10,"Michael Vick",FA,"QB16","69","188","121.0","28.8","-22"
"121",10,"Fred Jackson",FA,"RB41","92","181","121.3","19.2","-15"
"122",10,"Bernard Pierce",FA,"RB42","89","165","124.7","20.6","-20"
"123",10,"Brandon Pettigrew",FA,"TE15","90","162","126.3","20.1","+5"
"124",10,"Sidney Rice",FA,"WR51","91","162","126.6","20.1","-1"
