RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
1,1,Christian McCaffrey,SF,RB1,1,1,1,0,0
2,1,Austin Ekeler,LAC,RB2,2,3,2.3,0.5,0
3,1,Jonathan Taylor,IND,RB3,2,4,2.9,0.6,0
4,1,Saquon Barkley,NYG,RB4,3,7,4.6,1.2,0
5,2,Justin Jefferson,MIN,WR1,6,10,6.6,1.4,0
6,2,Josh Jacobs,LV,RB5,4,15,7.7,3.9,0
7,2,Bijan Robinson,ATL,RB6,4,15,7.7,3.3,0
8,2,Travis Kelce,KC,TE1,9,9,9,0,0
9,2,Ja'Marr Chase,CIN,WR2,6,10,9.4,1.4,0
10,2,Kenneth Walker III,SEA,RB7,5,21,11.7,6.2,0
11,3,Cooper Kupp,LAR,WR3,11,20,12.7,3.1,0
12,3,Tyreek Hill,MIA,WR4,11,13,12.7,0.7,0
13,3,Tony Pollard,DAL,RB8,5,25,13.6,6.9,0
14,3,Travis Etienne Jr.,JAC,RB9,12,16,15,1.3,0
15,3,Rhamondre Stevenson,NE,RB10,12,18,16,2.1,0
16,3,Nick Chubb,CLE,RB11,8,27,16.9,7.5,0
17,3,CeeDee Lamb,DAL,WR5,14,20,17,2.3,0
18,3,Stefon Diggs,BUF,WR6,14,22,17.3,2.7,0
19,3,Davante Adams,LV,WR7,14,22,18,3.2,0
20,3,Breece Hall,NYJ,RB12,16,25,19.3,3,0
21,4,Derrick Henry,TEN,RB13,12,32,19.7,6.8,0
22,4,Amon-Ra St. Brown,DET,WR8,20,23,21.7,1.2,0
23,4,Mark Andrews,BAL,TE2,19,30,22.1,5,0
24,4,Garrett Wilson,NYJ,WR9,20,26,23.3,1.8,0
25,4,A.J. Brown,PHI,WR10,22,28,24,1.8,0
26,4,T.J. Hockenson,MIN,TE3,19,30,26.9,5,0
27,4,Najee Harris,PIT,RB14,25,31,27.3,1.7,0
28,4,Jaylen Waddle,MIA,WR11,26,28,27.4,0.9,0
29,4,DeVonta Smith,PHI,WR12,26,33,30.3,2.5,0
30,4,Aaron Jones,GB,RB15,27,32,31,1.7,0
31,5,Chris Olave,NO,WR13,26,34,31.9,2.9,0
32,5,Tee Higgins,CIN,WR14,26,46,33.4,6.6,0
33,5,DK Metcalf,SEA,WR15,29,42,33.7,4.7,0
34,5,Dalvin Cook,MIN,RB16,31,44,34.6,4.6,0
35,5,Josh Allen,BUF,QB1,36,45,40.9,3,0
36,5,Jalen Hurts,PHI,QB2,36,45,40.9,3,0
37,5,Patrick Mahomes II,KC,QB3,36,50,41.1,5.2,0
38,5,J.K. Dobbins,BAL,RB17,35,55,41.4,6.9,0
39,5,Deebo Samuel,SF,WR16,34,53,41.7,6,0
40,5,Chris Godwin,TB,WR17,34,57,42.4,6.7,0
41,5,Keenan Allen,LAC,WR18,29,61,43.3,9,0
42,5,Rachaad White,TB,RB18,35,56,43.9,6.8,0
43,5,DeAndre Hopkins,ARI,WR19,43,47,45.3,1.5,0
44,5,Amari Cooper,CLE,WR20,37,54,45.7,6,0
45,5,Joe Mixon,CIN,RB19,32,64,46.4,12.8,0
46,6,Dameon Pierce,HOU,RB20,41,60,48.1,6.5,0
47,6,Michael Pittman Jr.,IND,WR21,42,63,49.4,7.3,0
48,6,Javonte Williams,DEN,RB21,38,64,50.3,9.3,0
49,6,Cam Akers,LAR,RB22,41,60,50.6,6.3,0
50,6,DJ Moore,CHI,WR22,47,58,53,3,0
51,6,James Conner,ARI,RB23,38,73,54,10.7,0
52,6,Joe Burrow,CIN,QB4,50,69,55.3,8.4,0
53,6,Drake London,ATL,WR23,39,63,56.4,7.4,0
54,6,Jerry Jeudy,DEN,WR24,42,66,57.1,6.8,0
55,6,George Kittle,SF,TE4,52,89,57.3,12.9,0
56,6,Tyler Lockett,SEA,WR25,43,75,58,9.8,0
57,6,Alvin Kamara,NO,RB24,48,82,58.1,10.9,0
58,6,Miles Sanders,CAR,RB25,38,70,58.4,9.3,0
59,6,Terry McLaurin,WAS,WR26,54,72,60,6,0
60,6,Kyle Pitts,ATL,TE5,51,89,61,13.4,0
61,6,Mike Williams,LAC,WR27,54,72,62,5.3,0
62,7,Diontae Johnson,PIT,WR28,57,72,62.6,5,0
63,7,Dallas Goedert,PHI,TE6,51,71,63.1,7.5,0
64,7,Jahmyr Gibbs,DET,RB26,41,84,63.9,15.1,0
65,7,Marquise Brown,ARI,WR29,37,77,64.3,11.8,0
66,7,Christian Watson,GB,WR30,54,76,66.1,7.9,0
67,7,Mike Evans,TB,WR31,53,80,66.9,9.8,0
68,7,Brandon Aiyuk,SF,WR32,58,76,67.9,6.4,0
69,7,David Montgomery,DET,RB27,56,83,68.9,10.2,0
70,7,Justin Fields,CHI,QB5,68,78,69.6,3.5,0
71,7,Lamar Jackson,BAL,QB6,50,79,70,9.4,0
72,7,Christian Kirk,JAC,WR33,61,76,70.4,6.2,0
73,7,Isiah Pacheco,KC,RB28,62,88,71.7,9.6,0
74,7,Treylon Burks,TEN,WR34,66,77,73.7,3.5,0
75,7,Trevor Lawrence,JAC,QB7,69,79,75.7,4.3,0
76,7,Justin Herbert,LAC,QB8,69,79,75.9,4.4,0
77,7,Khalil Herbert,CHI,RB29,62,82,76.4,6.9,0
78,7,James Cook,BUF,RB30,64,88,76.7,7.3,0
79,7,D'Andre Swift,DET,RB31,48,120,76.9,21.5,0
80,7,AJ Dillon,GB,RB32,70,88,77.4,6.1,0
81,7,Darren Waller,NYG,TE7,52,95,78.9,14.6,0
82,7,Pat Freiermuth,PIT,TE8,71,93,83,10.5,0
83,8,Brian Robinson Jr.,WAS,RB33,74,91,85,5.3,0
84,8,Rashaad Penny,PHI,RB34,60,108,86.3,14.1,0
85,8,David Njoku,CLE,TE9,71,95,87,10.1,0
86,8,Dak Prescott,DAL,QB9,79,99,87.6,7.8,0
87,8,Evan Engram,JAC,TE10,67,102,88.3,12.5,0
88,8,Damien Harris,BUF,RB35,74,108,89.4,9.4,0
89,8,Antonio Gibson,WAS,RB36,81,108,90,11.4,0
90,8,George Pickens,PIT,WR35,80,105,91.3,10.1,0
91,8,Courtland Sutton,DEN,WR36,80,106,93,10,0
92,8,Calvin Ridley,JAC,WR37,77,106,95,11.9,0
93,8,Jahan Dotson,WAS,WR38,86,109,96.3,7.8,0
94,8,Jamaal Williams,NO,RB37,70,117,96.4,17.9,0
95,8,Brandin Cooks,DAL,WR39,86,106,99.6,6.8,0
96,8,Daniel Jones,NYG,QB10,87,124,101.4,10.2,0
97,8,Tua Tagovailoa,MIA,QB11,87,119,103.1,10.9,0
98,8,JuJu Smith-Schuster,NE,WR40,97,111,104.3,5.2,0
99,8,Tyler Allgeier,ATL,RB38,82,132,104.9,19.5,0
100,8,Deshaun Watson,CLE,QB12,87,125,105.3,14.6,0
101,8,Jakobi Meyers,LV,WR41,98,112,106.1,4,0
102,8,Gabe Davis,BUF,WR42,98,118,107.6,6,0
103,8,Dalton Schultz,HOU,TE11,102,140,107.7,13.2,0
104,8,Kirk Cousins,MIN,QB13,99,124,109,10.2,0
105,8,Samaje Perine,DEN,RB39,70,132,109.7,20.4,0
106,9,Aaron Rodgers,GB,QB14,100,124,110,10.8,0
107,9,Kadarius Toney,KC,WR43,97,136,110.6,12.2,0
108,9,Jeff Wilson Jr.,MIA,RB40,94,138,110.7,16.6,0
109,9,Rondale Moore,ARI,WR44,96,121,111,6.9,0
110,9,Alexander Mattison,MIN,RB41,92,143,111.1,18.2,0
111,9,Geno Smith,SEA,QB15,100,125,113.4,11.2,0
112,9,Jaxon Smith-Njigba,SEA,WR45,107,130,114.9,7.5,0
113,9,Rashod Bateman,BAL,WR46,103,145,115,13.4,0
114,9,Elijah Moore,CLE,WR47,105,134,116.4,9.3,0
115,9,Darnell Mooney,CHI,WR48,106,134,117.1,10.4,0
116,9,Devin Singletary,HOU,RB42,94,147,118.1,14.4,0
117,9,Raheem Mostert,MIA,RB43,114,127,118.3,4.2,0
118,9,Kenneth Gainwell,PHI,RB44,108,132,119.3,8.5,0
119,9,Michael Thomas,NO,WR49,98,145,119.9,15,0
120,9,Elijah Mitchell,SF,RB45,94,132,120.3,12.4,0
121,9,Greg Dulcich,DEN,TE12,95,141,120.6,18.7,0
122,9,Jordan Addison,MIN,WR50,112,133,120.9,6.8,0
123,9,D'Onta Foreman,CHI,RB46,91,138,122.1,14.3,0
124,9,Nico Collins,HOU,WR51,109,136,123.4,9.6,0
125,9,Zay Jones,JAC,WR52,111,148,124,12.6,0
126,9,Jared Goff,DET,QB16,101,160,125.6,16.2,0
127,9,Kareem Hunt,FA,RB47,114,161,127,16.7,0
128,9,Leonard Fournette,FA,RB48,114,162,127.6,15.5,0
129,9,Donovan Peoples-Jones,CLE,WR53,122,148,129.7,8.4,0
130,9,Cole Kmet,CHI,TE13,104,142,130,12.1,0
131,9,Allen Lazard,NYJ,WR54,122,137,130.3,5.6,0
132,9,Russell Wilson,DEN,QB17,124,160,135.3,15.7,0
133,9,DJ Chark Jr.,CAR,WR55,118,151,135.7,12.9,0
134,9,Jameson Williams,DET,WR56,110,186,135.9,22.9,0
135,9,Ezekiel Elliott,FA,RB49,120,143,136.1,7.6,0
136,9,Tyler Higbee,LAR,TE14,128,144,136.7,4.8,0
137,9,Trey McBride,ARI,TE15,104,165,138.3,16.6,0
138,9,Chigoziem Okonkwo,TEN,TE16,128,144,138.4,5.5,0
139,10,Jerick McKinnon,FA,RB50,117,174,139.9,17.5,0
140,10,Skyy Moore,KC,WR57,111,151,140,13.1,0
141,10,Tyler Boyd,CIN,WR58,134,150,140.4,7,0
142,10,Jaylen Warren,PIT,RB51,92,161,142,22.1,0
143,10,Gerald Everett,LAC,TE17,140,165,144.7,8.4,0
144,10,Wan'Dale Robinson,NYG,WR59,129,187,144.9,18.6,0
145,10,Hunter Renfrow,LV,WR60,130,152,146.1,6.9,0
146,10,Cordarrelle Patterson,ATL,RB52,143,162,154.4,6.5,0
147,10,San Francisco 49ers,SF,DST1,155,156,155.3,0.5,0
148,10,Michael Carter,NYJ,RB53,143,174,155.4,9.9,0
149,10,Buffalo Bills,BUF,DST2,155,159,156.6,1.6,0
150,10,Quentin Johnston,LAC,WR61,121,240,158.1,44.4,0
151,10,Adam Thielen,CAR,WR62,134,186,158.7,20.6,0
152,10,Mike Gesicki,NE,TE18,142,182,160.7,11.8,0
153,10,Dallas Cowboys,DAL,DST3,156,169,160.7,4,0
154,10,Michael Gallup,DAL,WR63,137,194,162.1,21,0
155,10,Zach Charbonnet,SEA,RB54,91,237,162.7,45.4,0
156,10,Kyler Murray,ARI,QB18,124,202,162.7,26.4,0
157,10,Joshua Kelley,LAC,RB55,138,217,163.9,25.7,0
