Player,Year,Length,Inflated_Guaranteed,Contract_Years
A.J. McCarron,2023,1,0.0,2023
A.J. McCarron,2021,1,192425.0,2021
A.J. McCarron,2020,1,4832240.0,2020
A.J. McCarron,2019,1,3392667.0,2019
A.J. McCarron,2018,2,8647856.0,2018
A.J. McCarron,2014,4,348826.0,2017
A.J. McCarron,2014,4,348826.0,2016
A.J. McCarron,2014,4,348826.0,2015
A.J. McCarron,2014,4,348826.0,2014
Aaron Murray,2017,1,0.0,2017
Aaron Murray,2016,1,0.0,2016
Aaron Murray,2014,4,350309.0,2015
Aaron Murray,2014,4,350309.0,2014
Aaron Rodgers,2023,3,85209075.0,2025
Aaron Rodgers,2023,3,85209075.0,2024
Aaron Rodgers,2023,3,85209075.0,2023
Aaron Rodgers,2022,5,184821523.0,2026
Aaron Rodgers,2022,5,184821523.0,2022
Aaron Rodgers,2018,4,141536569.0,2021
Aaron Rodgers,2018,4,141536569.0,2020
Aaron Rodgers,2018,4,141536569.0,2019
Aaron Rodgers,2018,4,141536569.0,2018
Aaron Rodgers,2013,5,112126829.0,2017
Aaron Rodgers,2013,5,112126829.0,2016
Aaron Rodgers,2013,5,112126829.0,2015
Aaron Rodgers,2013,5,112126829.0,2014
Aaron Rodgers,2013,5,112126829.0,2013
Aaron Rodgers,2008,5,44034483.0,2012
Aaron Rodgers,2008,5,44034483.0,2011
Aaron Rodgers,2008,5,44034483.0,2010
Aaron Rodgers,2008,5,44034483.0,2009
Aaron Rodgers,2008,5,44034483.0,2008
Aaron Rodgers,2005,5,12180041.0,2007
Aaron Rodgers,2005,5,12180041.0,2006
Aaron Rodgers,2005,5,12180041.0,2005
Adam Weber,2013,1,0.0,2013
Adam Weber,2012,1,0.0,2012
Adam Weber,2011,1,0.0,2011
Adrian Martinez,2024,2,0.0,2025
Adrian Martinez,2024,1,0.0,2024
Adrian Martinez,2023,3,68167.0,2023
Aidan O'Connell,2023,4,578717.0,2026
Aidan O'Connell,2023,4,578717.0,2025
Aidan O'Connell,2023,4,578717.0,2024
Aidan O'Connell,2023,4,578717.0,2023
Alek Torgersen,2018,2,0.0,2019
Alek Torgersen,2018,2,0.0,2018
Alek Torgersen,2017,1,0.0,2017
Alex McGough,2024,1,0.0,2024
Alex McGough,2023,1,0.0,2023
Alex McGough,2021,1,0.0,2021
Alex McGough,2020,1,0.0,2020
Alex McGough,2019,1,0.0,2019
Alex McGough,2018,1,0.0,2018
Alex Smith,2018,4,102332957.0,2021
Alex Smith,2018,4,102332957.0,2020
Alex Smith,2018,4,102332957.0,2019
Alex Smith,2018,4,102332957.0,2018
Alex Smith,2014,4,86413534.0,2017
Alex Smith,2014,4,86413534.0,2016
Alex Smith,2014,4,86413534.0,2015
Alex Smith,2014,4,86413534.0,2014
Alex Smith,2012,3,32825041.0,2013
