Player,Tm,Pos,Year,Age,Y/G,Receiving_Points,1D,PC1_Receiving,PC2_Receiving,PC3_Receiving,PC4_Receiving,PC5_Receiving,Future_Receiving_Points,PC1_Team_Offense,PC2_Team_Offense,PC3_Team_Offense,PC4_Team_Offense,PC5_Team_Offense,PC6_Team_Offense,Pick,PC1_Combine,PC2_Combine
Calvin Johnson,DET,WR,2012,27,122.8,287.4,92,8.862478093292312,-3.5485437159018365,-0.5414012564584956,0.14590601247082857,0.9851328972256841,263.20000000000005,2.344107343677892,-4.4480339359682874,3.5266149555727853,1.3009300974927254,0.16923725857311295,0.22283510879022347,2.0,0.45332790255464767,-9.053547730008855
Brandon Marshall,CHI,WR,2012,28,94.3,275.8,74,7.6946255424509316,-2.2802494558017723,1.7138778915394197,0.04857779167496648,2.7855415766418523,251.5,-3.00160543768315,1.5753516620633192,-0.748361214652183,0.20833094020579074,-0.5830365522079517,-0.9601861231226345,119.0,-2.193233678826665,-1.1328050629552682
Wes Welker,NWE,WR,2012,31,84.6,230.4,71,5.436734044464034,-2.3558925946806757,0.3622614988417673,0.39207613039880546,1.1718183567324993,174.3,7.67211772619115,0.8453874039370706,2.3866548231216136,-1.7729866163831016,2.1091565716093488,1.1953069197154371,,,
Andre Johnson,HOU,WR,2012,31,99.9,239.8,79,6.188349630382838,-0.6601899721259421,-0.00277180870200031,0.8950893204097565,0.7176282654393685,225.2,1.3431270733860272,2.238911304187056,-0.32680289771449206,0.10220968626018573,-0.0748987853023409,0.3709279861178686,3.0,-0.6239541798131617,-0.6718903286888601
Jason Witten,DAL,TE,2012,30,64.9,176.9,56,4.102266052279841,-2.8395734276052504,0.32126060598823386,0.9508813935485642,-0.26744733543361165,169.60000000000002,1.3015912718084737,-5.033245596544183,-0.17666282963629498,1.0893473798822626,0.039030589166042656,-0.7394960574486782,69.0,1.4169552956132392,1.3201510257853954
Reggie Wayne,IND,WR,2012,34,84.7,218.5,73,5.048460554519059,-1.6741396332088396,0.6340227924985934,-1.3915127016632678,0.9057175548379796,81.30000000000001,0.2831162740037125,-2.144373119629761,1.2076138139185517,-0.3271174588807774,0.10548497268010408,-1.1328563699735343,30.0,-1.8562828926337935,1.4442782435397024
A.J. Green,CIN,WR,2012,24,84.4,249.5,61,6.67207593575775,-1.0437558374367102,0.28144147870003544,-0.8502439523547832,0.7958415427085525,257.6,-1.3465491070413016,-0.297408583937104,-0.6491692867713712,0.5678261821652282,-0.1540955334100585,-1.1778733731754862,4.0,,
Demaryius Thomas,DEN,WR,2012,25,89.6,250.4,60,5.9100888136552925,-0.5956821223577178,-0.19203452747406857,0.5978094650238528,1.9522906238002595,273.0,4.413280981339239,-1.946964473378172,0.9535298844249986,0.25244894784229793,1.3118532187676577,-1.2108996433639416,22.0,,
Tony Gonzalez,ATL,TE,2012,36,58.1,187.5,65,4.026854821615174,-2.6346640878215117,0.9239681021179678,2.6914227642442405,2.897027019773254,175.4,3.149586421223411,-2.730350756105144,-1.0430180161023506,-3.2232477920640084,-0.45277714674538083,-3.749624854405685,,,
Dez Bryant,DAL,WR,2012,24,86.4,256.20000000000005,54,5.631275245438172,0.16605065179927614,0.05743379585736657,0.7962245147162844,1.9141240083122355,247.8,1.3015912718084737,-5.033245596544183,-0.17666282963629498,1.0893473798822626,0.039030589166042656,-0.7394960574486782,24.0,,
