Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Barry Sanders,Lions,1997,5,,"$32,700,000","$6,540,000","$13,500,000",,15.8%,,"$201,466,204","$40,293,241","$83,174,121"
Terrell Davis,Broncos,1998,6,,"$46,800,000","$7,800,000","$11,000,000",,14.9%,,"$228,157,593","$38,026,266","$53,626,785"
Emmitt Smith,Cowboys,1996,7,,"$40,500,000","$5,785,714","$10,500,000",,14.2%,,"$253,814,443","$36,259,204","$65,803,745"
Marshall Faulk,Rams,1999,5,,"$40,466,500","$8,093,300","$7,000,000",,14.1%,,"$180,406,789","$36,081,358","$31,207,234"
Adrian Peterson,Vikings,2011,6,,"$85,280,000","$14,213,333","$36,000,000",,11.8%,,"$180,938,833","$30,156,471","$76,381,308"
Curtis Martin,Jets,1998,6,,"$36,000,000","$6,000,000","$10,000,000",,11.5%,,"$175,505,841","$29,250,974","$48,751,623"
Chris Johnson,Titans,2011,4,,"$53,975,000","$13,493,750","$30,000,000",,11.2%,,"$114,518,920","$28,629,730","$63,651,090"
Clinton Portis,Commanders,2004,6,,"$49,165,000","$8,194,167","$13,000,000",,10.2%,,"$155,825,631","$25,970,940","$41,202,750"
LaDainian Tomlinson,Chargers,2004,6,,"$48,000,000","$8,000,000","$16,540,000",,9.9%,,"$152,133,231","$25,355,538","$52,422,576"
Adrian Peterson,Vikings,2015,3,,"$42,000,000","$14,000,000","$13,000,000",,9.8%,,"$74,865,997","$24,955,332","$23,172,808"
Eddie George,Titans,2000,,,"$41,250,010","$5,892,859","$10,750,010",,9.5%,,"$169,453,332","$24,207,621","$44,160,596"
Edgerrin James,Colts,2005,1,,"$8,081,000","$8,081,000","$8,081,000",,9.5%,,"$24,139,034","$24,139,034","$24,139,034"
Marshall Faulk,Rams,2002,6,,"$39,800,000","$6,633,333","$12,000,000",,9.3%,,"$142,964,515","$23,827,418","$43,104,879"
Priest Holmes,Chiefs,2003,4,,"$27,550,000","$6,887,500","$8,525,000",,9.2%,,"$93,808,178","$23,452,044","$29,027,757"
Jerome Bettis,Steelers,1997,4,,"$14,400,000","$3,600,000","$4,000,000",,8.7%,,"$88,719,062","$22,179,766","$24,644,184"
Reggie Bush,Saints,2006,6,,"$52,500,000","$8,750,000","$26,325,000",,8.6%,,"$131,455,882","$21,909,314","$65,915,735"
Marshawn Lynch,Seahawks,2015,2,,"$24,000,000","$12,000,000","$12,000,000",,8.4%,,"$42,780,570","$21,390,285","$21,390,285"
Marshall Faulk,Colts,1994,7,,"$17,178,500","$2,863,083","$5,100,000",,8.3%,,"$126,773,836","$21,128,970","$37,636,963"
Le'Veon Bell,Steelers,2018,1,,"$14,544,000","$14,544,000",$0,,8.2%,,"$20,962,402","$20,962,402",$0
Todd Gurley,Rams,2018,4,,"$57,500,000","$14,375,000","$45,000,000",,8.1%,,"$82,875,282","$20,718,821","$64,858,916"
Christian McCaffrey,SF/CAR,2020,4,,"$64,063,412","$16,015,853","$36,346,412",,8.1%,,"$82,551,945","$20,637,986","$46,835,891"
Ezekiel Elliott,Cowboys,2019,6,,"$90,000,000","$15,000,000","$50,052,137",,8.0%,,"$122,136,026","$20,356,004","$67,924,101"
Tiki Barber,Giants,2005,2,,"$11,000,000","$6,500,000",$0,,7.6%,,"$32,858,480","$19,416,374",$0
Alvin Kamara,Saints,2020,5,,"$75,000,000","$15,000,000","$34,333,333",,7.6%,,"$96,644,803","$19,328,961","$44,241,843"
Shaun Alexander,Seahawks,2006,8,,"$61,687,500","$7,710,938","$13,500,000",,7.6%,,"$154,460,662","$19,307,584","$33,802,941"
LeSean McCoy,Eagles,2012,5,,"$45,000,000","$9,000,000","$20,765,000",,7.5%,,"$95,298,507","$19,059,701","$43,974,967"
Christian McCaffrey,49ers,2024,2,,"$38,000,000","$19,000,000","$24,000,000",,7.4%,,"$38,000,000","$19,000,000","$24,000,000"
Steven Jackson,Rams,2008,5,,"$43,097,500","$8,619,500","$20,500,000",,7.4%,,"$94,888,806","$18,977,761","$45,135,345"
Shaun Alexander,Seahawks,2005,1,,"$6,323,000","$6,323,000","$6,323,000",,7.4%,,"$18,887,651","$18,887,651","$18,887,651"
Rudi Johnson,Bengals,2005,1,,"$6,323,000","$6,323,000","$6,323,000",,7.4%,,"$18,887,651","$18,887,651","$18,887,651"
Edgerrin James,Cardinals,2006,4,,"$30,000,000","$7,500,000","$11,500,000",,7.4%,,"$75,117,647","$18,779,412","$28,795,098"
David Johnson,ARI/HOU,2018,3,,"$39,000,000","$13,000,000","$31,882,500",,7.3%,,"$56,211,061","$18,737,020","$45,952,542"
Curtis Martin,Jets,2002,6,,"$31,229,067","$5,204,845","$14,870,700",,7.3%,,"$112,177,096","$18,696,184","$53,416,644"
Le'Veon Bell,Steelers,2017,1,,"$12,120,000","$12,120,000","$12,120,000",,7.3%,,"$18,535,617","$18,535,617","$18,535,617"
Arian Foster,Texans,2012,5,,"$43,500,000","$8,700,000","$20,750,000",,7.2%,,"$92,121,891","$18,424,378","$43,943,201"
DeAngelo Williams,Panthers,2011,5,,"$43,000,000","$8,600,000","$21,000,000",,7.1%,,"$91,233,229","$18,246,646","$44,555,763"
Le'Veon Bell,Jets,2019,4,,"$52,500,000","$13,125,000","$35,000,000",,7.0%,,"$71,246,015","$17,811,504","$47,497,343"
Nick Chubb,Browns,2021,3,,"$36,600,000","$12,200,000","$20,000,000",,6.7%,,"$51,219,945","$17,073,315","$27,989,041"
Clinton Portis,Commanders,2008,6,,"$46,120,000","$7,686,667","$15,756,000",,6.6%,,"$101,543,517","$16,923,920","$34,690,366"
Aaron Jones,Packers,2021,4,,"$48,000,000","$12,000,000","$13,000,000",,6.6%,,"$67,173,699","$16,793,425","$18,192,877"
Jerome Bettis,Steelers,2001,6,,"$25,892,000","$4,315,333","$6,000,000",,6.4%,,"$98,105,731","$16,350,954","$22,734,219"
Dalvin Cook,Vikings,2020,5,,"$63,000,000","$12,600,000","$28,131,361",,6.4%,,"$81,181,635","$16,236,327","$36,249,998"
Frank Gore,49ers,2007,4,,"$27,577,000","$6,894,250","$13,662,000",,6.3%,,"$64,616,200","$16,154,050","$32,011,695"
Derrick Henry,Titans,2020,4,,"$50,000,000","$12,500,000","$25,500,000",,6.3%,,"$64,429,869","$16,107,467","$32,859,233"
Tiki Barber,Giants,2001,6,,"$25,500,000","$4,250,000",$0,,6.3%,,"$96,620,429","$16,103,405",$0
Matt Forte,Bears,2012,4,,"$30,400,000","$7,600,000","$17,100,000",,6.3%,,"$64,379,436","$16,094,859","$36,213,433"
Jonathan Taylor,Colts,2023,3,,"$42,000,000","$14,000,000","$26,500,000",,6.2%,,"$47,717,082","$15,905,694","$30,107,206"
Marshawn Lynch,Seahawks,2012,4,,"$30,000,000","$7,500,000","$17,000,000",,6.2%,,"$63,532,338","$15,883,085","$36,001,658"
Maurice Jones-Drew,Jaguars,2009,4,,"$30,515,000","$7,628,750","$9,000,000",,6.2%,,"$63,362,041","$15,840,510","$18,687,805"
Joe Mixon,Bengals,2020,4,,"$48,000,000","$12,000,000","$10,000,000",,6.1%,,"$61,852,674","$15,463,169","$12,885,974"
Jonathan Stewart,Panthers,2012,5,,"$36,500,000","$7,300,000","$23,000,000",,6.1%,,"$77,297,678","$15,459,536","$48,708,126"
Darren McFadden,Raiders,2008,6,,"$42,013,750","$7,002,292","$26,042,500",,6.0%,,"$92,502,688","$15,417,115","$57,338,401"
Ray Rice,Ravens,2012,5,,"$35,000,000","$7,000,000","$22,000,000",,5.8%,,"$74,121,061","$14,824,212","$46,590,381"
Darren Sproles,Chargers,2010,1,,"$7,283,100","$7,283,100","$7,283,100",,5.6%,,"$14,419,409","$14,419,409","$14,419,409"
LeSean McCoy,Bills,2015,5,,"$40,050,000","$8,010,000","$26,050,000",,5.6%,,"$71,390,075","$14,278,015","$46,434,743"
DeMarco Murray,Eagles,2015,5,,"$40,000,000","$8,000,000","$21,000,000",,5.6%,,"$71,300,949","$14,260,190","$37,432,998"
Darren Sproles,Chargers,2009,1,,"$6,621,000","$6,621,000","$6,621,000",,5.4%,,"$13,747,995","$13,747,995","$13,747,995"
Terrell Davis,Broncos,1996,3,,"$6,440,000","$2,146,667","$1,000,000",,5.3%,,"$40,359,630","$13,453,212","$6,267,023"
Jamaal Charles,Chiefs,2014,4,,"$28,000,000","$7,000,000","$2,950,000",,5.3%,,"$53,768,421","$13,442,105","$5,664,887"
Willis McGahee,Ravens,2007,7,,"$40,120,000","$5,731,429","$7,500,000",,5.3%,,"$94,005,945","$13,429,422","$17,573,394"
Josh Jacobs,Raiders,2023,1,,"$11,791,000","$11,791,000","$10,091,000",,5.2%,,"$13,396,003","$13,396,003","$11,464,597"
Frank Gore,49ers,2011,3,,"$18,900,000","$6,300,000","$10,200,000",,5.2%,,"$40,100,187","$13,366,729","$21,641,371"
Derrick Henry,Titans,2020,1,,"$10,278,000","$10,278,000","$10,278,000",,5.2%,,"$13,244,204","$13,244,204","$13,244,204"
DeAngelo Williams,Panthers,2006,5,,"$7,750,000","$5,275,000",$0,,5.2%,,"$19,405,392","$13,208,186",$0
Aaron Jones,Packers,2023,2,,"$23,000,000","$11,500,000","$8,520,000",,5.1%,,"$26,130,783","$13,065,391","$9,679,751"
Emmitt Smith,Cardinals,2003,2,,"$7,500,000","$3,750,000","$2,500,000",,5.0%,,"$25,537,616","$12,768,808","$8,512,539"
Michael Turner,Falcons,2008,6,,"$34,500,000","$5,750,000","$15,000,000",,5.0%,,"$75,959,483","$12,659,914","$33,025,862"
Devonta Freeman,Falcons,2017,5,,"$41,250,000","$8,250,000","$22,047,000",,4.9%,,"$63,085,329","$12,617,066","$33,717,388"
Saquon Barkley,Eagles,2024,3,,"$37,750,000","$12,583,333","$26,000,000",,4.9%,,"$37,750,000","$12,583,333","$26,000,000"
Rudi Johnson,Bengals,2005,4,,"$16,627,000","$4,156,750","$8,000,000",,4.9%,,"$49,667,085","$12,416,771","$23,897,076"
LaDainian Tomlinson,Chargers,2009,3,,"$17,875,000","$5,958,333","$7,725,000",,4.8%,,"$37,116,057","$12,372,018","$16,040,366"
Josh Jacobs,Packers,2024,4,,"$48,000,000","$12,000,000","$12,500,000",,4.7%,,"$48,000,000","$12,000,000","$12,500,000"
Doug Martin,Buccaneers,2016,5,,"$35,750,000","$7,150,000","$15,000,000",,4.6%,,"$58,804,341","$11,760,868","$24,673,150"
Saquon Barkley,Giants,2023,1,,"$10,091,000","$10,091,000","$10,091,000",,4.5%,,"$11,464,597","$11,464,597","$11,464,597"
Saquon Barkley,Giants,2023,1,,"$10,091,000","$10,091,000",$0,,4.5%,,"$11,464,597","$11,464,597",$0
Tony Pollard,Cowboys,2023,1,,"$10,091,000","$10,091,000","$10,091,000",,4.5%,,"$11,464,597","$11,464,597","$11,464,597"
Jerome Bettis,Steelers,2004,3,,"$10,835,000","$3,611,667",$0,,4.5%,,"$34,340,907","$11,446,970",$0
Saquon Barkley,Giants,2018,4,,"$31,194,750","$7,798,688","$31,194,750",,4.4%,,"$44,961,282","$11,240,321","$44,961,282"
Willie Parker,Steelers,2006,3,,"$13,175,000","$4,391,667","$3,750,000",,4.3%,,"$32,989,167","$10,996,390","$9,389,706"
Kenyan Drake,Cardinals,2020,1,,"$8,483,000","$8,483,000","$8,483,000",,4.3%,,"$10,931,172","$10,931,172","$10,931,172"
Trent Richardson,IND/CLE,2012,4,,"$20,489,796","$5,122,449","$20,489,796",,4.2%,,"$43,392,155","$10,848,039","$43,392,155"
Jerick McKinnon,49ers,2018,4,,"$30,000,000","$7,500,000","$18,000,000",,4.2%,,"$43,239,278","$10,809,819","$25,943,567"
Lamar Miller,Texans,2016,4,,"$26,000,000","$6,500,000","$14,000,000",,4.2%,,"$42,766,793","$10,691,698","$23,028,273"
Jamaal Charles,Chiefs,2010,5,,"$27,000,000","$5,400,000","$10,000,000",,4.2%,,"$53,455,814","$10,691,163","$19,798,450"
Cedric Benson,Bears,2005,5,,"$17,736,505","$3,547,301","$15,200,000",,4.1%,,"$52,981,326","$10,596,265","$45,404,444"
Travis Henry,Broncos,2007,5,,"$22,500,000","$4,500,000","$12,000,000",,4.1%,,"$52,720,183","$10,544,037","$28,117,431"
Chris Ivory,Jaguars,2016,5,,"$32,000,000","$6,400,000","$10,000,000",,4.1%,,"$52,636,053","$10,527,211","$16,448,767"
DeMarco Murray,Titans,2016,4,,"$25,500,000","$6,375,000","$12,250,000",,4.1%,,"$41,944,355","$10,486,089","$20,149,739"
Leonard Fournette,Jaguars,2017,4,,"$27,150,882","$6,786,894","$27,150,882",,4.1%,,"$41,522,966","$10,379,477","$41,522,966"
Reggie Bush,Dolphins,2011,2,,"$9,750,000","$4,875,000","$2,500,000",,4.0%,,"$20,686,604","$10,343,302","$5,304,258"
Melvin Gordon,Broncos,2020,2,,"$16,000,000","$8,000,000","$13,500,000",,4.0%,,"$20,617,558","$10,308,779","$17,396,065"
Ezekiel Elliott,Cowboys,2016,4,,"$24,956,338","$6,239,085","$24,956,338",,4.0%,,"$41,050,098","$10,262,525","$41,050,098"
Jerome Bettis,Steelers,2005,2,,"$6,851,000","$3,425,500","$200,000",,4.0%,,"$20,464,858","$10,232,429","$597,427"
LaDainian Tomlinson,Chargers,2001,6,,"$15,750,000","$2,625,000","$11,500,000",,3.9%,,"$59,677,324","$9,946,221","$43,573,919"
Ryan Grant,Packers,2008,4,,"$18,000,000","$4,500,000",$0,,3.9%,,"$39,631,034","$9,907,759",$0
Joe Mixon,Texans,2024,2,,"$19,750,000","$9,875,000","$13,000,000",,3.9%,,"$19,750,000","$9,875,000","$13,000,000"
C.J. Spiller,Bills,2010,5,,"$24,304,587","$4,860,917","$20,000,000",,3.8%,,"$48,119,314","$9,623,862","$39,596,899"
Ahmad Bradshaw,Giants,2011,4,,"$18,000,000","$4,500,000","$9,000,000",,3.7%,,"$38,190,654","$9,547,664","$19,095,327"
Fred Jackson,Bills,2012,2,,"$8,700,000","$4,350,000","$3,000,000",,3.6%,,"$18,424,378","$9,212,189","$6,353,234"
Rhamondre Stevenson,Patriots,2024,4,,"$36,000,000","$9,000,000","$17,116,000",,3.5%,,"$36,000,000","$9,000,000","$17,116,000"
Marshall Faulk,Rams,2005,4,,"$11,800,000","$2,950,000","$2,000,000",,3.5%,,"$35,248,187","$8,812,047","$5,974,269"
Adrian Peterson,Vikings,2007,5,,"$18,555,000","$3,711,000","$17,030,000",,3.4%,,"$43,476,578","$8,695,316","$39,903,321"
Nyheim Hines,BUF/IND,2021,3,,"$18,600,000","$6,200,000","$12,000,000",,3.4%,,"$26,029,808","$8,676,603","$16,793,425"
Leonard Fournette,Buccaneers,2022,3,,"$21,000,000","$7,000,000","$11,000,000",,3.4%,,"$25,760,807","$8,586,936","$13,493,756"
James Conner,Cardinals,2022,3,,"$21,000,000","$7,000,000","$13,500,000",,3.4%,,"$25,760,807","$8,586,936","$16,560,519"
Giovani Bernard,Bengals,2016,3,,"$15,500,000","$5,166,667","$5,000,000",,3.3%,,"$25,495,588","$8,498,530","$8,224,383"
Reggie Bush,Lions,2013,4,,"$16,000,000","$4,000,000","$4,000,000",,3.3%,,"$33,222,764","$8,305,691","$8,305,691"
Steven Jackson,Falcons,2013,3,,"$12,000,000","$4,000,000","$4,000,000",,3.3%,,"$24,917,073","$8,305,691","$8,305,691"
James Casey,Eagles,2013,3,,"$12,000,000","$4,000,000","$6,015,000",,3.3%,,"$24,917,073","$8,305,691","$12,489,683"
Curtis Martin,Jets,2006,4,,"$12,810,000","$3,202,500",$0,,3.1%,,"$32,075,235","$8,018,809",$0
Derrick Henry,Ravens,2024,2,,"$16,000,000","$8,000,000","$9,000,000",,3.1%,,"$16,000,000","$8,000,000","$9,000,000"
D'Andre Swift,Bears,2024,3,,"$24,000,000","$8,000,000","$15,300,000",,3.1%,,"$24,000,000","$8,000,000","$15,300,000"
Dalvin Cook,Jets,2023,1,,"$7,000,000","$7,000,000","$5,800,000",,3.1%,,"$7,952,847","$7,952,847","$6,589,502"
Austin Ekeler,Chargers,2020,4,,"$24,500,000","$6,125,000","$15,000,000",,3.1%,,"$31,570,636","$7,892,659","$19,328,961"
