Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Darren Waller,LV/NYG,2022,3,,"$51,000,000","$17,000,000","$22,000,000",,8.2%,,"$62,561,960","$20,853,987","$26,987,512"
Dallas Goedert,Eagles,2021,4,,"$57,000,000","$14,250,000","$35,127,549",,7.8%,,"$79,768,767","$19,942,192","$49,159,321"
Mark Andrews,Ravens,2021,4,,"$56,000,000","$14,000,000","$37,583,059",,7.7%,,"$78,369,315","$19,592,329","$52,595,689"
George Kittle,49ers,2020,5,,"$75,000,000","$15,000,000","$40,000,000",,7.6%,,"$96,644,803","$19,328,961","$51,543,895"
Jimmy Graham,SEA/NO,2014,4,,"$40,000,000","$10,000,000","$20,900,000",,7.5%,,"$76,812,030","$19,203,008","$40,134,286"
Rob Gronkowski,NE/TB,2012,6,,"$54,000,000","$9,000,000","$18,170,000",,7.5%,,"$114,358,209","$19,059,701","$38,479,420"
T.J. Hockenson,Vikings,2023,4,,"$66,000,000","$16,500,000","$42,500,000",,7.3%,,"$74,983,986","$18,745,996","$48,285,142"
Travis Kelce,Chiefs,2020,4,,"$57,250,000","$14,312,500","$23,000,000",,7.2%,,"$73,772,200","$18,443,050","$29,637,740"
Jonnu Smith,Patriots,2021,4,,"$50,000,000","$12,500,000","$31,250,000",,6.8%,,"$69,972,603","$17,493,151","$43,732,877"
Hunter Henry,Patriots,2021,3,,"$37,500,000","$12,500,000","$25,000,000",,6.8%,,"$52,479,452","$17,493,151","$34,986,301"
Jonnu Smith,Falcons,2021,4,,"$50,000,000","$12,500,000","$31,250,000",,6.8%,,"$69,972,603","$17,493,151","$43,732,877"
Travis Kelce,Chiefs,2024,2,,"$34,250,000","$17,125,000","$17,000,000",,6.7%,,"$34,250,000","$17,125,000","$17,000,000"
David Njoku,Browns,2022,4,,"$54,750,000","$13,687,500","$28,000,000",,6.6%,,"$67,162,104","$16,790,526","$34,347,743"
Julius Thomas,JAX/MIA,2015,5,,"$46,000,000","$9,200,000","$24,000,000",,6.4%,,"$81,996,092","$16,399,218","$42,780,570"
Dawson Knox,Bills,2022,4,,"$52,000,000","$13,000,000","$31,200,000",,6.2%,,"$63,788,665","$15,947,166","$38,273,199"
Jason Witten,Cowboys,2011,5,,"$37,000,000","$7,400,000","$21,000,000",,6.1%,,"$78,503,011","$15,700,602","$44,555,763"
Evan Engram,Jaguars,2023,3,,"$41,250,000","$13,750,000","$25,500,000",,6.1%,,"$46,864,991","$15,621,664","$28,971,085"
Tony Gonzalez,Chiefs,2002,5,,"$21,500,000","$4,300,000","$10,000,000",,6.0%,,"$77,229,575","$15,445,915","$35,920,732"
Travis Kelce,Chiefs,2016,5,,"$46,842,000","$9,368,400","$20,017,000",,6.0%,,"$77,049,313","$15,409,863","$32,925,496"
Shannon Sharpe,Broncos,1997,3,,"$7,500,000","$2,500,000","$1,800,000",,6.0%,,"$46,207,845","$15,402,615","$11,089,883"
Jordan Reed,Commanders,2016,5,,"$46,750,000","$9,350,000","$22,000,000",,6.0%,,"$76,897,984","$15,379,597","$36,187,287"
Jermichael Finley,Packers,2012,2,,"$14,000,000","$7,000,000","$4,000,000",,5.8%,,"$29,648,425","$14,824,212","$8,470,978"
Tony Gonzalez,ATL/KC,2007,5,,"$31,250,000","$6,250,000","$17,750,000",,5.7%,,"$73,222,477","$14,644,495","$41,590,367"
