Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Tyreek Hill,Dolphins,2022,4,,"$120,000,000","$30,000,000","$72,200,000",,14.4%,,"$147,204,611","$36,801,153","$88,568,108"
Jerry Rice,49ers,1996,5,,"$29,000,000","$5,800,000","$4,000,000",,14.2%,,"$181,743,675","$36,348,735","$25,068,093"
DeAndre Hopkins,Cardinals,2020,2,,"$54,500,000","$27,250,000","$49,400,000",,13.7%,,"$70,228,557","$35,114,279","$63,656,710"
Justin Jefferson,Vikings,2024,4,,"$140,000,000","$35,000,000","$110,000,000",,13.7%,,"$140,000,000","$35,000,000","$110,000,000"
Randy Moss,Vikings,2001,7,,"$63,536,000","$9,076,571","$18,000,000",,13.5%,,"$240,740,218","$34,391,458","$68,202,656"
Davante Adams,Raiders,2022,5,,"$140,000,000","$28,000,000","$65,710,000",,13.4%,,"$171,738,713","$34,347,743","$80,606,792"
Calvin Johnson,Lions,2012,7,,"$113,450,000","$16,207,143","$53,250,000",,13.4%,,"$240,258,126","$34,322,590","$112,769,900"
Larry Fitzgerald,Cardinals,2011,7,,"$113,000,000","$16,142,857","$45,000,000",,13.4%,,"$239,752,440","$34,250,348","$95,476,636"
CeeDee Lamb,Cowboys,2024,4,,"$136,000,000","$34,000,000","$100,000,000",,13.3%,,"$136,000,000","$34,000,000","$100,000,000"
Cooper Kupp,Rams,2022,3,,"$80,100,000","$26,700,000","$75,000,000",,12.8%,,"$98,259,078","$32,753,026","$92,002,882"
A.J. Brown,Eagles,2024,3,,"$96,000,000","$32,000,000","$84,000,000",,12.5%,,"$96,000,000","$32,000,000","$84,000,000"
A.J. Brown,Eagles,2022,4,,"$100,000,000","$25,000,000","$57,220,471",,12.0%,,"$122,670,509","$30,667,627","$70,192,643"
Marvin Harrison,Colts,2004,7,,"$67,000,000","$9,571,429","$23,000,000",,11.9%,,"$212,352,635","$30,336,092","$72,897,173"
Amon-Ra St. Brown,Lions,2024,4,,"$120,010,000","$30,002,500","$77,000,000",,11.7%,,"$120,010,000","$30,002,500","$77,000,000"
Brandon Aiyuk,49ers,2024,4,,"$120,000,000","$30,000,000","$76,000,000",,11.7%,,"$120,000,000","$30,000,000","$76,000,000"
Tyreek Hill,Dolphins,2024,3,,"$90,000,000","$30,000,000","$54,000,000",,11.7%,,"$90,000,000","$30,000,000","$54,000,000"
Julio Jones,ATL/TEN,2019,3,,"$66,000,000","$22,000,000","$64,000,000",,11.7%,,"$89,566,419","$29,855,473","$86,852,285"
D.K. Metcalf,Seahawks,2022,3,,"$72,000,000","$24,000,000","$58,220,000",,11.5%,,"$88,322,767","$29,440,922","$71,418,770"
Stefon Diggs,BUF/HOU,2022,4,,"$96,000,000","$24,000,000","$70,000,000",,11.5%,,"$117,763,689","$29,440,922","$85,869,356"
Larry Fitzgerald,Cardinals,2004,6,,"$55,437,500","$9,239,583","$12,537,500",,11.5%,,"$175,705,958","$29,284,325","$39,736,883"
Deebo Samuel,49ers,2022,3,,"$71,550,000","$23,850,000","$58,167,000",,11.5%,,"$87,770,749","$29,256,916","$71,353,755"
Jerry Rice,49ers,1998,6,,"$36,000,000","$6,000,000","$4,000,000",,11.5%,,"$175,505,841","$29,250,974","$19,500,649"
Terry McLaurin,Commanders,2022,3,,"$69,600,000","$23,200,000","$53,154,118",,11.1%,,"$85,378,674","$28,459,558","$65,204,427"
Jaylen Waddle,Dolphins,2024,3,,"$84,750,000","$28,250,000","$76,000,000",,11.1%,,"$84,750,000","$28,250,000","$76,000,000"
Randy Moss,Raiders,2005,4,,"$37,000,000","$9,250,000","$7,085,000",,10.8%,,"$110,523,977","$27,630,994","$21,163,848"
D.J. Moore,Bears,2024,4,,"$110,000,000","$27,500,000","$82,635,000",,10.8%,,"$110,000,000","$27,500,000","$82,635,000"
A.J. Green,Bengals,2015,4,,"$60,000,000","$15,000,000","$26,750,000",,10.5%,,"$106,951,424","$26,737,856","$47,682,510"
Percy Harvin,NYJ/SEA,2013,5,,"$64,217,500","$12,843,500","$25,500,000",,10.4%,,"$133,342,679","$26,668,536","$52,948,780"
Michael Thomas,Saints,2019,5,,"$96,250,000","$19,250,000","$60,989,043",,10.2%,,"$130,617,694","$26,123,539","$82,766,215"
Antonio Brown,Steelers,2017,4,,"$68,000,000","$17,000,000","$19,000,000",,10.2%,,"$103,995,210","$25,998,802","$29,057,485"
Odell Beckham Jr.,NYG/CLE,2018,5,,"$90,000,000","$18,000,000","$65,000,000",,10.2%,,"$129,717,833","$25,943,567","$93,685,102"
Keenan Allen,CHI/LAC,2020,4,,"$80,100,000","$20,025,000","$50,000,000",,10.1%,,"$103,216,650","$25,804,162","$64,429,869"
