Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed",Contract Years,Year Signed,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year End
LeSean McCoy,Eagles,RB,45000000,9000000,20765000,7.50,83880597,16776119,38706235,5,2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Arian Foster,Texans,RB,43500000,8700000,20750000,7.20,81084577,16216915,38678275,5,2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Matt Forte,Bears,RB,30400000,7600000,17100000,6.30,56666003,14166501,31874627,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Marshawn Lynch,Seahawks,RB,30000000,7500000,17000000,6.20,55920398,13980100,31688226,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Jonathan Stewart,Panthers,RB,36500000,7300000,23000000,6.10,68036484,13607297,42872305,5,2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Ray Rice,Ravens,RB,35000000,7000000,22000000,5.80,65240464,13048093,41008292,5,2012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Trent Richardson,CLE/IND,RB,20489796,5122449,20489796,4.20,38193252,9548313,38193252,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Michael Bush,Bears,RB,14000000,3500000,7000000,2.90,26096186,6524046,13048093,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Doug Martin,Buccaneers,RB,6787528,1696882,5471956,1.40,12652042,3163011,10199799,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
David Wilson,Giants,RB,6684502,1671126,5382979,1.40,12460000,3115001,10033944,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Isaiah Pead,Rams,RB,4038100,1009525,2340350,0.80,7527072,1881768,4362443,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
LaMichael James,49ers,RB,3318898,829725,1046740,0.70,6186470,1546618,1951137,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Ronnie Hillman,Broncos,RB,3000832,750208,690832,0.60,5593591,1398398,1287720,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Bernard Pierce,JAX/BAL,RB,2655944,663986,555944,0.60,4950715,1237679,1036287,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Lamar Miller,Dolphins,RB,2586000,646500,486000,0.50,4820338,1205085,905910,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Robert Turbin,CLE/SEA,RB,2556456,639114,456456,0.50,4765268,1191317,850840,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Evan Rodriguez,MIA/CHI,RB,2545200,636300,445200,0.50,4744287,1186072,829859,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Chris Rainey,Steelers,RB,2281652,570413,181652,0.50,4253030,1063257,338602,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Vick Ballard,Colts,RB,2244560,561140,144560,0.50,4183890,1045972,269462,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Cyrus Gray,Chiefs,RB,2232672,558168,107672,0.50,4161730,1040433,200702,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Alfred Morris,Commanders,RB,2223100,555775,123100,0.50,4143888,1035972,229460,4,2012,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
