Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Aaron Donald,DT,23,7,9,9,115,115,138,0,0,0,0,0,0,0,0,0,0,0,312,,103
Zack Martin,G,23,6,8,9,93,93,137,0,0,0,0,0,0,0,0,0,0,0,,,
Khalil Mack,LB,23,3,7,8,89,42,134,0,0,0,0,0,0,0,0,0,0,0,385,3,84.5
Patrick Mahomes,QB,21,2,5,5,85,85,80,1985,2993,24241,192,49,299,1547,12,1,6,0,2,,
David Bakhtiari,T,21,2,3,9,84,84,130,0,0,0,0,0,0,0,0,0,0,0,1,,
Derek Carr,QB,23,0,4,9,82,82,142,3201,4958,35222,217,99,278,845,6,1,-9,0,,,
Travis Kelce,TE,23,4,8,9,82,82,144,1,3,4,0,1,8,14,2,814,10344,69,2,,
Tyreek Hill,WR,22,4,7,6,78,63,108,0,1,0,0,1,100,751,7,598,8340,63,10,,
Dak Prescott,QB,23,0,3,6,77,77,97,2185,3283,24943,166,65,352,1642,26,1,11,1,,,
Davante Adams,WR,21,3,6,9,77,65,133,0,0,0,0,0,3,-1,0,769,9637,87,2,,
Stefon Diggs,WR,21,1,3,8,75,35,119,0,1,0,0,0,31,157,0,703,8812,59,2,,
C.J. Mosley,LB,22,0,5,7,75,59,112,0,0,0,0,0,0,0,0,0,0,0,593,11,11.5
DeAndre Hopkins,WR,21,3,5,9,74,55,145,1,3,6,1,1,4,12,0,853,11298,71,2,,
Jared Goff,QB,21,0,3,6,71,48,100,2250,3502,25854,155,70,209,474,10,1,5,0,2,,
Lane Johnson,T,23,2,4,9,70,70,127,0,0,0,0,0,0,0,0,1,5,1,,,
Lamar Jackson,QB,21,1,2,4,69,69,70,1055,1655,12209,101,38,727,4437,24,0,0,0,1,,
Josh Allen,QB,22,0,3,5,68,68,77,1604,2566,18397,138,60,546,3087,38,1,12,1,4,,
Jalen Ramsey,CB,21,3,6,7,68,29,108,0,0,0,0,0,0,0,0,0,0,0,375,19,2
Joel Bitonio,G,22,2,5,8,67,67,129,0,0,0,0,0,0,0,0,0,0,0,3,,
Keenan Allen,WR,21,0,5,9,67,67,126,0,2,0,0,0,16,107,0,796,9287,52,4,1,
T.J. Watt,OLB,22,3,5,6,66,66,87,0,0,0,0,0,0,0,0,0,0,0,243,6,77.5
Mike Evans,WR,21,0,4,9,66,66,137,0,0,0,0,0,1,10,0,683,10425,81,5,,
Brandin Cooks,WR,20,0,0,9,66,21,132,0,0,0,0,0,50,309,2,630,8616,49,,,
Alvin Kamara,RB,22,0,5,4,65,65,88,1,1,13,0,0,1135,5135,49,430,3753,22,,,
Jake Matthews,T,22,0,1,9,65,65,145,0,0,0,0,0,0,0,0,0,0,0,,,
Ezekiel Elliott,RB,21,1,3,7,64,64,103,1,1,4,0,0,1881,8262,68,305,2336,12,2,,
DeForest Buckner,DE,22,1,2,7,63,35,112,0,0,0,0,0,0,0,0,0,0,0,287,,53
Chris Jones,DT,22,1,4,7,63,63,107,0,0,0,0,0,0,0,0,0,0,0,168,2,65
Corey Linsley,C,23,1,1,9,63,47,129,0,0,0,0,0,0,0,0,0,0,0,2,,
